Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks
VAY,AK PORTFÖY DEĞER ODAKLI 100 ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ADE,AK PORTFÖY DEĞİŞKEN FON,0.671,1.01,1.695,2.389,2.74,3.448,3.806,4.53,4.895,5.634,6.007,6.762,7.143,7.914,NaN,8.696,9.489,9.89,10.294,10.701,11.524,11.94,12.36,12.782,13.208,14.068,14.504,14.943,15.385,15.83,16.279,17.188,17.647,18.11,18.577,19.048,19.522,20.0,20.482,20.968,21.457,21.457,21.951,22.449,22.951,23.457,23.967
DTZ,AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,-2.897,-3.571,-1.769,-0.051,5.825,6.872,12.958,14.085,17.604,31.618,43.363,48.397,55.148,55.769,NaN,47.833,45.183,47.273,43.257,46.606,47.05,48.397,43.575,46.496,44.751,46.939,39.355,42.418,45.075,48.851,52.95,54.041,57.154,53.191,52.113,48.738,53.312,57.92,55.645,74.82,73.417,79.833,88.19,79.501,86.744,83.917,76.727
VCY,AK PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,-3.117,-4.704,-1.205,0.558,4.948,7.642,16.926,18.385,23.918,40.311,49.627,51.385,55.431,55.699,NaN,52.797,48.395,51.258,45.403,50.753,51.385,47.304,40.859,46.229,42.982,46.824,39.876,42.08,51.005,53.578,61.415,61.995,62.726,57.743,54.764,49.132,56.783,58.855,56.646,68.19,70.9,75.219,82.305,73.033,75.56,69.934,58.297
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,0.422,0.0,1.277,4.386,7.207,7.692,10.185,17.241,19.0,35.227,46.012,48.75,40.828,44.242,NaN,45.122,44.242,46.012,46.012,46.012,47.826,49.686,51.592,52.564,53.548,52.564,49.686,51.592,52.564,51.592,51.592,51.592,51.592,52.564,51.592,51.592,53.548,56.579,55.556,58.667,59.732,64.138,64.138,64.138,64.138,65.278,66.434
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,-4.028,-5.95,-3.916,-2.201,4.183,8.016,12.912,20.882,24.829,38.267,48.644,49.319,52.222,50.412,NaN,50.826,45.616,53.789,50.137,56.571,59.302,63.908,56.125,55.094,50.0,55.094,43.081,44.846,48.375,54.657,66.904,70.363,71.072,68.962,61.176,52.081,57.321,60.704,52.363,51.242,42.832,50.687,58.229,52.788,56.422,56.87,48.108
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,-3.065,-5.543,-7.236,-4.88,3.153,4.98,8.585,8.419,8.543,24.225,31.82,30.311,29.305,22.303,NaN,25.044,23.257,27.167,32.557,37.888,43.303,55.519,51.868,52.929,48.384,45.874,41.311,36.695,34.436,33.177,35.33,34.436,35.847,38.897,38.021,40.266,50.742,52.929,49.947,55.945,65.658,68.502,73.325,58.64,67.906,70.419,67.117
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),6.347,11.84,20.38,26.535,33.987,44.156,47.602,50.635,51.934,67.551,85.071,86.582,73.218,91.57,NaN,73.375,72.86,79.451,83.41,79.618,77.904,70.254,82.746,91.17,92.088,110.767,93.286,88.783,77.954,94.915,78.966,74.716,80.208,88.801,100.7,102.094,102.307,118.092,123.395,130.805,145.657,140.488,158.626,162.229,192.283,184.531,177.18
FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-0.332,2.964,8.446,15.668,17.815,27.808,33.712,35.914,33.279,43.167,61.29,62.722,63.124,68.712,NaN,45.374,44.673,48.515,49.389,42.18,38.714,34.749,36.307,35.357,41.267,58.425,50.479,46.797,37.157,49.051,34.694,31.213,35.691,40.725,44.673,44.231,50.068,72.324,77.515,80.525,90.092,99.035,108.465,107.547,125.564,118.254,115.969
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,0.119,0.287,0.335,3.123,3.889,4.536,6.745,14.278,15.093,28.218,33.951,34.769,35.684,36.169,NaN,37.598,37.508,38.051,38.188,37.961,39.336,41.022,41.737,41.594,42.025,41.833,41.212,41.594,41.546,41.737,42.314,42.75,42.799,42.847,42.945,43.091,43.532,43.63,44.372,44.223,43.581,44.223,43.778,43.385,43.238,44.471,45.423
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,0.841,1.119,3.096,5.741,9.028,10.083,12.776,17.185,18.618,31.433,40.988,41.837,36.381,41.411,NaN,39.408,38.529,40.897,41.99,41.837,42.851,43.441,44.923,47.155,47.451,49.728,45.499,44.479,42.82,46.208,44.257,43.566,44.479,45.627,46.403,46.208,49.152,51.9,53.278,56.888,58.395,60.282,62.174,61.697,64.974,64.932,64.234
AIS,AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,0.0,3.03,3.03,3.03,3.03,3.03,3.03,6.25,6.25,6.25,6.25,6.25,6.25,6.25,NaN,9.677,9.677,9.677,9.677,9.677,9.677,9.677,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,17.241,17.241,17.241,17.241,17.241,17.241,17.241,17.241,21.429,21.429,21.429,21.429,21.429,21.429,21.429,21.429,21.429
MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,-2.104,-2.681,-3.045,-1.198,2.775,5.278,10.738,12.943,15.385,27.368,35.145,38.655,42.801,44.968,NaN,40.046,36.672,38.55,40.263,42.801,45.316,48.163,46.845,52.265,48.042,47.801,41.908,44.277,46.018,50.0,52.01,55.928,58.932,57.007,54.6,50.748,55.394,58.932,56.871,70.263,69.944,74.519,79.348,78.466,85.773,81.319,73.187
ONK,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON,0.668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,-1.316,-1.316,-1.316,-1.316,-1.316,-1.316,0.0,0.0,0.0,-2.597,-3.846,-3.846,5.634,4.167,NaN,5.634,4.167,2.74,1.351,2.74,0.0,-1.316,-1.316,0.0,0.0,1.351,1.351,1.351,1.351,1.351,0.0,1.351,1.351,1.351,2.74,2.74,4.167,5.634,7.143,7.143,8.696,8.696,10.294,10.294,8.696,8.696,8.696
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,5.128,5.128,5.128,5.128,5.128,7.895,NaN,7.895,7.895,7.895,10.811,10.811,10.811,10.811,10.811,13.889,13.889,13.889,13.889,13.889,13.889,17.143,17.143,17.143,17.143,17.143,17.143,20.588,20.588,20.588,20.588,20.588,20.588,20.588,24.242,24.242,24.242,24.242,24.242
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,2.817,4.286,8.955,12.308,19.672,21.667,28.07,32.727,37.736,52.083,55.319,58.696,65.909,62.222,NaN,52.083,43.137,48.98,55.319,69.767,78.049,55.319,48.98,55.319,55.319,48.98,62.222,48.98,46.0,48.98,62.222,48.98,52.083,62.222,65.909,48.98,55.319,52.083,40.385,35.185,43.137,48.98,48.98,40.385,58.696,58.696,52.083
