Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks
FIL,FİBA PORTFÖY PARA PİYASASI (TL) FONU,0.901,1.818,2.752,2.752,3.704,4.673,4.673,5.66,6.667,6.667,7.692,7.692,8.738,8.738,9.804,10.891,10.891,12.0,12.0,13.131,14.286,14.286,15.464,15.464,16.667,16.667,NaN,17.895,19.149,19.149,20.43,20.43,21.739,21.739,21.739,23.077,23.077,24.444,24.444,24.444,25.843,25.843,27.273,27.273,27.273,28.736,28.736,28.736,30.233,30.233,30.233,31.765,31.765,31.765,33.333,33.333,33.333,34.94,34.94
FZP,FİBA PORTFÖY SERBEST FON,0.863,1.89,2.336,2.886,3.494,4.367,5.097,5.519,6.105,7.023,7.296,7.791,8.626,9.304,10.278,11.506,12.52,13.43,14.542,16.06,16.768,19.015,20.516,21.21,21.772,22.41,NaN,23.415,23.998,24.585,25.253,25.778,26.458,27.146,27.842,28.467,29.177,29.735,30.217,30.784,31.767,32.933,33.694,34.034,34.721,35.677,36.293,36.825,38.083,39.087,39.734,40.294,40.857,41.331,42.095,42.673,43.159,43.452,44.536
GO1,FONERİA PORTFÖY BİRİNCİ FON SEPETİ FONU,0.657,1.249,2.074,3.531,5.594,5.756,6.327,6.656,7.237,7.825,8.589,8.333,9.539,10.152,10.861,12.215,12.858,13.603,14.547,15.217,16.091,17.477,18.283,18.793,19.204,19.618,NaN,20.877,21.196,21.839,22.38,22.816,23.366,23.81,24.368,25.045,25.159,25.615,25.845,26.19,26.654,27.122,27.711,28.067,28.665,29.268,29.877,30.246,31.113,32.246,32.755,33.657,34.308,34.966,35.363,35.63,36.032,36.301,36.706
GO9,FONERİA PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FCK,FONERİA PORTFÖY ÇOKLU VARLIK KATILIM FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GO4,FONERİA PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,1.675,1.62,0.106,1.074,2.172,3.978,3.634,1.785,1.73,4.788,4.847,4.498,5.316,6.508,8.41,11.559,14.338,15.389,18.888,23.41,26.139,39.822,46.459,48.072,46.687,50.319,NaN,50.44,49.01,51.652,52.512,53.382,54.897,58.953,58.551,61.823,60.034,60.855,56.964,58.018,59.087,63.085,63.652,63.937,65.233,66.108,66.401,64.799,67.886,72.344,73.297,81.836,83.431,84.149,85.968,85.419,86.337,87.637,88.012
GO2,FONERİA PORTFÖY İKİNCİ FON SEPETİ FONU,1.015,1.337,1.595,2.909,4.599,5.083,5.221,4.325,4.875,6.989,8.005,8.595,9.341,10.402,11.876,13.633,15.362,15.95,17.839,19.88,20.973,27.055,29.431,30.278,30.065,31.788,NaN,32.999,32.446,34.12,35.259,35.489,36.418,38.555,40.141,42.016,42.016,42.397,40.264,39.649,38.918,41.511,41.26,41.135,42.27,43.812,44.596,44.991,46.999,49.765,50.615,54.713,57.468,57.468,57.312,56.847,57.624,58.724,59.041
FBC,FONERİA PORTFÖY KATILIM FONU,-0.744,-1.234,-4.073,-4.909,-4.303,-2.358,-0.166,-0.908,1.866,5.443,6.189,5.908,8.786,11.929,13.089,16.039,16.943,18.676,19.741,19.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GO6,FONERİA PORTFÖY PARA PİYASASI (TL) FONU,0.746,1.418,2.099,2.79,3.401,4.11,4.737,5.281,5.923,6.48,7.042,7.706,8.281,8.863,9.451,10.045,10.646,11.253,11.971,12.593,13.116,13.751,14.393,15.043,15.589,16.252,NaN,17.261,17.715,18.173,18.634,19.099,19.567,19.921,20.277,20.635,20.995,21.116,21.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GO3,FONERİA PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,1.443,1.385,0.688,2.033,3.475,4.77,4.397,3.11,2.989,5.526,5.971,5.526,6.549,7.659,9.675,12.34,14.762,15.44,18.796,23.732,25.77,36.519,41.238,42.614,41.352,44.135,NaN,44.371,43.312,45.568,46.661,47.523,48.772,51.466,51.99,54.394,53.45,54.529,51.205,51.335,51.596,54.938,54.802,54.802,56.039,57.296,58.004,57.72,60.457,64.206,64.513,70.914,72.424,73.274,73.96,73.274,74.133,75.174,75.524
GUH,GARANTI PORTFÖY YABANCI TEKNOLOJİ BYF FON SEPETİ FONU,5.785,3.226,0.0,3.226,2.4,4.065,1.587,0.787,-1.538,4.918,4.918,1.587,-1.538,-3.759,-2.29,-1.538,4.065,4.918,8.475,12.281,17.431,30.612,39.13,43.82,52.381,52.381,NaN,52.381,50.588,50.588,48.837,56.098,58.025,66.234,58.025,64.103,60.0,58.025,54.217,60.0,64.103,66.234,75.342,77.778,80.282,75.342,70.667,66.234,70.667,72.973,72.973,88.235,77.778,82.857,93.939,82.857,85.507,82.857,75.342
