Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,5.848,4.624,-1.093,4.624,-5.729,-7.179,-11.707,-9.045,-14.218,-11.707,-13.81,-19.556,-22.318,-26.122,-28.458,-25.514,-19.196,-20.264,-15.421,-15.421,-10.396,1.117,8.383,7.738,9.036,10.366,NaN,6.471,4.624,7.101,2.841,9.697,11.043,4.624,0.556,4.624,0.556,0.0,-4.233,-3.209,-1.63,-4.737,4.023,4.023,3.429,0.0,0.0,-3.723,-3.723,-3.209,-1.093,11.043,9.697,19.868,20.667,14.557,12.422,10.366,-0.549
AFO,AK PORTFÖY ALTIN FONU,-0.256,-0.256,5.995,10.826,8.964,7.163,8.056,8.056,7.163,8.056,7.163,7.459,6.575,5.707,4.852,10.198,11.782,11.782,15.43,19.692,20.807,33.677,37.943,37.456,35.069,33.219,NaN,40.942,38.434,41.971,44.61,45.149,50.193,58.13,57.49,60.082,60.082,56.225,53.15,51.953,51.362,53.755,58.776,58.776,62.083,63.445,62.762,62.083,66.239,66.239,67.672,77.626,75.225,79.263,76.018,70.614,75.225,78.44,79.263
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,0.874,1.507,2.414,3.154,3.909,5.027,5.791,6.375,6.97,8.163,5.629,5.906,6.193,6.353,6.619,9.761,10.293,11.299,13.902,21.765,22.932,38.298,44.605,46.121,47.669,48.444,NaN,49.361,49.79,50.692,51.432,52.447,53.033,53.483,54.242,54.384,54.676,54.993,55.248,55.447,55.639,55.904,56.089,56.565,56.955,57.314,57.429,57.577,57.683,57.856,58.609,57.972,58.079,58.311,58.493,58.551,58.951,60.282,61.419
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,5.75,2.92,1.196,4.703,3.171,4.187,0.955,1.928,0.714,5.486,3.931,1.196,-0.471,-1.628,-0.704,2.174,6.015,6.015,11.024,16.851,21.203,36.893,45.862,49.47,54.38,54.945,NaN,55.515,54.38,56.667,56.089,62.692,65.234,69.2,61.45,65.234,60.837,60.837,57.836,62.069,67.857,67.857,74.793,77.731,78.481,76.987,72.653,66.535,68.526,70.565,68.526,80.769,73.361,80.0,89.686,84.716,88.839,85.526,76.987
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,3.097,2.643,0.431,3.556,1.747,2.193,0.866,3.097,1.304,4.484,2.643,-1.271,0.431,-2.51,-2.51,0.0,6.881,3.097,7.373,11.483,16.5,30.168,35.465,34.682,36.257,35.465,NaN,36.257,36.257,40.361,42.945,50.323,55.333,51.299,48.408,51.299,47.468,48.408,46.541,47.468,48.408,48.408,55.333,60.69,60.69,60.69,57.432,57.432,59.589,62.937,67.626,79.231,77.863,89.431,92.562,90.984,94.167,95.798,86.4
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-2.916,0.355,-6.601,-10.159,-9.729,-3.741,2.909,-6.291,2.536,4.621,10.98,7.197,16.701,20.94,34.442,30.415,44.757,46.253,48.556,52.151,53.804,63.584,93.174,90.572,51.337,89.298,NaN,67.953,67.953,75.232,73.62,70.997,67.953,60.34,88.04,102.143,98.596,120.233,99.296,95.172,74.691,96.528,73.62,63.584,61.254,65.982,86.799,87.417,88.667,97.902,113.585,118.533,120.233,108.856,136.82,145.022,169.524,165.728,134.855
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,-0.058,1.362,-4.01,-8.647,-5.936,-2.976,-1.666,-5.416,-1.948,1.392,3.727,2.824,8.46,12.747,19.393,23.753,24.382,25.201,26.124,27.629,28.395,30.699,32.213,32.932,33.139,33.92,NaN,35.136,35.564,36.32,36.975,37.525,38.247,38.92,39.6,40.344,40.922,41.505,41.739,42.328,42.804,43.522,44.005,44.797,45.412,46.032,46.533,47.036,47.734,48.503,49.02,49.869,50.462,51.126,51.931,51.998,53.498,53.912,53.912
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.679,3.009,-4.711,-8.247,-7.867,-3.68,-2.838,-7.676,-4.915,-1.766,0.225,-3.05,0.907,4.215,10.973,13.52,17.414,25.0,28.242,30.499,27.143,40.823,56.69,59.498,48.333,62.409,NaN,45.902,43.548,48.829,52.397,46.865,45.425,38.199,43.548,47.841,45.425,63.603,47.841,42.173,35.671,49.832,39.062,37.346,39.937,47.351,52.921,54.514,56.14,69.202,71.815,80.894,94.323,90.987,106.019,107.944,132.984,125.888,119.212
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,1.192,2.039,1.706,2.901,2.731,3.394,3.97,3.777,4.202,5.655,5.041,4.532,5.159,5.298,6.701,9.217,11.698,12.595,15.045,19.179,20.823,32.007,39.255,41.077,37.647,40.935,NaN,40.336,39.88,41.648,42.548,42.73,43.718,44.72,45.698,47.306,47.578,48.832,46.268,45.888,45.132,47.306,46.421,46.268,46.997,47.772,48.595,48.634,50.834,52.85,54.877,57.665,58.782,60.464,61.714,61.434,63.602,63.841,63.554
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,0.636,1.327,1.98,2.594,3.215,3.65,4.137,4.679,5.176,5.728,6.235,6.644,7.005,7.472,7.943,8.419,8.952,9.708,10.419,11.195,11.925,12.608,13.299,14.058,14.648,15.185,NaN,16.334,16.887,17.382,17.945,18.513,19.022,19.536,20.054,20.511,20.972,21.503,21.971,22.443,22.987,23.467,23.951,24.438,24.929,25.425,25.852,26.355,26.789,27.299,27.739,28.183,28.704,29.155,29.684,30.141,30.678,31.143,31.61
ALC,AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.0,0.752,-6.294,-10.067,-5.634,-3.597,-4.965,-8.844,-5.634,-2.899,0.752,-2.899,0.0,4.688,10.744,16.522,19.643,27.619,30.097,32.673,30.097,42.553,57.647,55.814,42.553,57.647,NaN,42.553,39.583,44.086,48.889,45.652,44.086,36.735,39.583,45.652,45.652,59.524,47.253,45.652,39.583,50.562,38.144,36.735,41.053,47.253,54.023,52.273,52.273,65.432,67.5,76.316,91.429,86.111,100.0,100.0,116.129,106.154,103.03
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-2.8,-1.67,-8.76,-13.261,-11.734,-9.431,-6.492,-8.883,-7.828,0.744,5.288,3.517,7.717,14.455,21.326,32.356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VAY,AK PORTFÖY DEĞER ODAKLI 100 ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ADE,AK PORTFÖY DEĞİŞKEN FON,0.629,1.266,1.911,2.564,2.894,3.56,4.235,4.918,5.263,5.96,6.312,6.667,7.383,7.744,8.475,9.215,9.589,10.345,10.727,11.498,11.888,12.676,13.074,13.879,14.286,15.108,NaN,15.942,16.788,17.216,17.647,18.081,18.959,19.403,19.85,20.301,20.755,21.673,22.137,22.605,23.077,23.552,24.031,25.0,25.49,25.984,26.482,26.984,27.49,28.0,28.514,29.032,29.555,29.555,30.081,30.612,31.148,31.687,32.231
DTZ,AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,4.847,1.95,-2.789,-1.311,-2.538,0.588,-0.791,-3.189,-3.783,1.183,1.02,-3.189,-5.994,-6.647,-4.901,-3.239,2.45,3.463,9.355,10.446,13.854,27.42,38.791,43.664,50.2,50.801,NaN,43.118,40.553,42.576,38.688,41.931,42.36,43.664,38.996,41.824,40.134,42.252,34.91,37.875,40.448,44.104,48.072,49.128,52.142,48.306,47.261,43.994,48.423,52.884,50.681,69.245,67.886,74.098,82.188,73.777,80.788,78.051,71.091
VCY,AK PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,4.314,2.637,-3.681,-4.202,-6.283,-5.0,-9.215,-7.958,-9.932,-5.394,-6.448,-11.481,-14.24,-15.645,-12.548,-10.987,-7.101,-4.716,3.502,4.793,9.691,24.202,32.448,34.005,37.586,37.824,NaN,35.254,31.358,33.893,28.71,33.445,34.005,30.392,24.687,29.44,26.566,29.967,23.817,25.768,33.668,35.945,42.883,43.396,44.043,39.633,36.996,32.01,38.783,40.617,38.662,48.881,51.28,55.102,61.375,53.167,55.404,50.424,40.123
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,2.439,3.279,3.279,5.0,4.564,5.439,6.329,6.329,6.78,8.155,6.329,5.882,6.329,5.882,7.234,10.526,13.514,14.027,16.667,24.138,26.0,43.182,54.601,57.5,49.112,52.727,NaN,53.659,52.727,54.601,54.601,54.601,56.522,58.491,60.51,61.538,62.581,61.538,58.491,60.51,61.538,60.51,60.51,60.51,60.51,61.538,60.51,60.51,62.581,65.789,64.706,68.0,69.128,73.793,73.793,73.793,73.793,75.0,76.224
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,7.913,7.578,4.906,3.837,2.789,4.843,2.425,2.183,0.874,9.482,8.657,5.353,1.109,-0.915,1.227,3.034,9.759,13.798,18.956,27.353,31.511,45.669,56.6,57.312,60.37,58.463,NaN,58.899,53.41,62.021,58.174,64.952,67.829,72.682,64.482,63.396,58.029,63.396,50.74,52.599,56.318,62.935,75.838,79.482,80.229,78.006,69.804,60.222,65.742,69.306,60.519,59.338,50.478,58.753,66.699,60.967,64.795,65.267,56.036
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,1.947,0.168,4.702,11.053,3.217,1.947,4.445,5.033,-0.334,1.774,5.256,4.849,1.635,-0.962,-2.738,-0.267,8.155,10.07,13.85,13.676,13.806,30.249,38.212,36.63,35.575,28.234,NaN,31.107,29.233,33.333,38.985,44.574,50.252,63.06,59.232,60.344,55.579,52.947,48.163,43.324,40.954,39.635,41.893,40.954,42.434,45.632,44.714,47.068,58.051,60.344,57.218,63.507,73.69,76.673,81.73,66.332,76.047,78.683,75.22
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-0.429,1.484,-5.974,-10.95,-8.111,-3.986,-2.497,-6.708,-1.943,0.948,4.544,1.469,7.908,13.483,22.148,28.394,35.955,46.273,49.769,52.848,54.166,70.011,87.789,89.322,75.762,94.383,NaN,75.921,75.398,82.086,86.103,82.256,80.517,72.755,85.43,93.977,94.908,113.862,96.125,91.555,80.567,97.777,81.594,77.281,82.855,91.574,103.648,105.062,105.278,121.295,126.675,134.195,149.264,144.02,162.424,166.079,196.575,188.709,181.25
FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-1.834,0.202,-7.694,-12.124,-11.205,-8.036,-6.829,-7.841,-3.173,3.388,8.01,5.424,5.074,8.549,14.328,21.942,24.206,34.741,40.964,43.287,40.509,50.933,70.039,71.548,71.972,77.863,NaN,53.26,52.521,56.571,57.492,49.892,46.238,42.058,43.701,42.699,48.93,67.019,58.641,54.76,44.597,57.136,42.0,38.33,43.051,48.358,52.521,52.054,58.208,81.671,87.144,90.317,100.403,109.831,119.773,118.805,137.799,130.093,127.683
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,0.982,1.585,2.385,3.343,3.877,5.112,5.69,6.121,6.53,7.935,5.212,5.412,5.538,5.715,5.766,8.704,9.512,10.194,12.522,20.463,21.323,35.157,41.201,42.063,43.028,43.539,NaN,45.046,44.951,45.523,45.667,45.428,46.877,48.655,49.409,49.257,49.712,49.51,48.855,49.257,49.207,49.409,50.017,50.477,50.528,50.579,50.682,50.836,51.3,51.404,52.186,52.029,51.352,52.029,51.56,51.145,50.99,52.291,53.294
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,1.387,2.522,1.507,2.445,2.186,3.106,3.729,3.106,3.666,5.594,5.045,4.201,5.077,5.367,7.427,10.183,13.608,14.708,17.513,22.108,23.601,36.954,46.91,47.795,42.11,47.351,NaN,45.264,44.349,46.816,47.954,47.795,48.852,49.467,51.011,53.336,53.645,56.017,51.611,50.548,48.82,52.35,50.317,49.597,50.548,51.745,52.553,52.35,55.417,58.282,59.716,63.478,65.049,67.015,68.987,68.489,71.904,71.861,71.133
AIS,AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,0.0,0.0,2.857,2.857,2.857,2.857,2.857,5.882,5.882,5.882,5.882,5.882,5.882,9.091,9.091,9.091,9.091,9.091,9.091,12.5,12.5,12.5,12.5,12.5,12.5,12.5,NaN,16.129,16.129,16.129,16.129,16.129,16.129,16.129,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,24.138,24.138,24.138,24.138,24.138,24.138,24.138,24.138,28.571,28.571,28.571,28.571,28.571,28.571,28.571,28.571,28.571
MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,5.613,4.531,2.323,5.269,5.786,7.846,6.134,4.644,5.212,9.802,9.926,6.777,4.531,3.914,3.526,5.498,9.74,12.413,18.243,20.597,23.204,36.0,44.304,48.052,52.478,54.792,NaN,49.537,45.934,47.939,49.768,52.478,55.164,58.204,56.796,62.584,58.075,57.818,51.525,54.054,55.913,60.165,62.312,66.495,69.702,67.647,65.077,60.963,65.925,69.702,67.502,81.801,81.461,86.346,91.502,90.56,98.362,93.606,84.924
ONK,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON,1.652,2.02,3.38,3.996,4.227,4.962,5.688,5.684,4.878,6.569,3.275,2.353,3.037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,-1.351,-1.351,-1.351,-1.351,0.0,0.0,0.0,-1.351,-1.351,-1.351,-2.667,-2.667,-3.947,-3.947,-3.947,-3.947,-3.947,-3.947,-2.667,-2.667,-2.667,-5.195,-6.41,-6.41,2.817,1.389,NaN,2.817,1.389,0.0,-1.351,0.0,-2.667,-3.947,-3.947,-2.667,-2.667,-1.351,-1.351,-1.351,-1.351,-1.351,-2.667,-1.351,-1.351,-1.351,0.0,0.0,1.389,2.817,4.286,4.286,5.797,5.797,7.353,7.353,5.797,5.797,5.797
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,2.273,2.273,2.273,4.651,4.651,4.651,4.651,7.143,7.143,7.143,7.143,9.756,9.756,9.756,9.756,12.5,12.5,12.5,12.5,12.5,15.385,15.385,15.385,15.385,15.385,18.421,NaN,18.421,18.421,18.421,21.622,21.622,21.622,21.622,21.622,25.0,25.0,25.0,25.0,25.0,25.0,28.571,28.571,28.571,28.571,28.571,28.571,32.353,32.353,32.353,32.353,32.353,32.353,32.353,36.364,36.364,36.364,36.364,36.364
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,-1.282,-4.938,0.0,6.944,-3.75,-2.532,-1.282,1.316,5.479,11.594,8.451,5.479,8.451,10.0,14.925,18.462,26.23,28.333,35.088,40.0,45.283,60.417,63.83,67.391,75.0,71.111,NaN,60.417,50.98,57.143,63.83,79.07,87.805,63.83,57.143,63.83,63.83,57.143,71.111,57.143,54.0,57.143,71.111,57.143,60.417,71.111,75.0,57.143,63.83,60.417,48.077,42.593,50.98,57.143,57.143,48.077,67.391,67.391,60.417
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,4.819,2.959,1.163,1.163,-1.136,-0.571,-3.333,-1.695,-2.793,0.0,-2.247,-3.867,-2.793,-5.435,-5.435,-1.136,2.959,1.163,3.571,9.434,13.725,27.007,37.008,33.846,33.846,33.846,NaN,33.846,35.937,38.095,41.463,46.218,48.718,50.0,43.802,42.623,37.008,37.008,35.937,35.937,37.008,35.937,38.095,39.2,39.2,39.2,39.2,37.008,43.802,46.218,46.218,51.304,50.0,62.617,65.714,64.151,67.308,65.714,56.757
TAR,AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,2.028,0.621,-2.212,-3.633,-5.26,-4.328,-6.594,-7.306,-8.469,-3.313,-3.121,-7.129,-6.833,-5.321,-2.798,6.419,15.519,15.245,18.522,22.194,24.382,38.294,47.523,46.046,47.225,46.192,NaN,37.253,35.974,39.751,37.124,38.425,36.995,31.798,27.758,32.156,33.486,33.364,28.546,26.759,24.382,27.647,26.539,23.749,23.644,27.201,24.488,23.331,24.488,33.242,32.757,36.355,37.512,42.341,NaN,NaN,NaN,NaN,NaN
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.079,7.056,-0.84,-8.184,-0.748,7.273,14.071,9.862,13.26,23.012,24.648,29.04,28.261,34.715,39.982,47.568,55.718,68.929,73.813,73.719,74.194,84.268,105.416,103.318,107.963,113.396,NaN,87.522,81.642,88.187,88.632,82.474,77.197,76.804,81.849,85.773,96.182,102.672,83.314,73.719,60.423,75.344,56.869,45.347,45.082,45.746,50.141,52.733,57.333,76.314,88.409,94.982,110.436,114.69,127.247,143.021,161.148,157.559,155.904
TGR,AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,3.67,3.738,-2.104,-4.526,-5.411,-3.389,-4.842,-5.665,-6.914,-3.448,-5.889,-9.909,-8.74,-11.472,-10.848,-7.078,-4.526,-2.074,3.264,6.784,11.605,26.207,37.865,38.468,42.458,40.81,NaN,37.326,36.91,40.31,40.0,45.874,45.605,37.685,34.581,37.805,37.505,42.78,34.011,35.736,35.503,41.693,48.405,53.295,52.042,50.738,46.617,44.277,50.309,55.556,50.882,62.423,64.108,68.387,79.162,83.208,93.28,88.783,74.71
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,-1.389,-1.73,-2.069,-1.045,-1.73,-3.072,-2.74,-7.492,-9.554,-10.41,-10.692,-12.074,-12.883,-12.883,-14.458,-16.224,-17.201,-16.224,-16.224,-15.976,-16.224,-21.978,-25.849,-24.668,-10.127,-13.678,NaN,-14.199,-14.458,-19.774,-20.225,-18.156,-20.225,-22.616,-23.45,-23.243,-23.035,-21.547,-20.891,-21.111,-23.656,-21.978,-23.45,-22.404,-23.243,-20.891,-20.0,-19.318,-17.681,-15.727,-13.678,-13.939,-14.458,-16.224,-11.25,-12.615,-13.15,-14.458,-13.939
ODV,AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,1.287,2.568,0.73,1.405,1.157,2.328,3.052,2.089,2.662,5.104,4.684,3.336,4.309,4.949,7.989,10.818,15.048,16.686,20.052,23.676,25.111,39.436,51.843,52.225,42.441,50.22,NaN,46.01,44.694,47.793,49.279,48.912,50.306,50.507,52.078,55.321,55.474,59.058,52.728,50.853,47.904,52.965,49.648,48.154,49.251,50.449,51.405,50.94,54.954,59.09,59.445,64.616,67.063,69.146,72.673,71.919,77.424,76.707,74.783
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,0.677,1.31,2.058,2.763,3.422,4.09,4.767,5.395,6.031,6.615,7.206,7.804,8.347,8.958,9.575,10.262,10.894,11.598,12.246,13.033,13.698,14.37,14.982,15.67,16.226,16.858,NaN,18.071,18.578,19.162,19.752,20.274,20.875,21.406,21.942,22.56,23.106,23.657,24.134,24.694,25.259,25.748,26.24,26.737,27.321,27.826,28.334,28.933,29.451,29.973,30.411,30.941,31.386,31.834,32.375,32.921,33.379,33.841,34.399
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,6.007,4.53,2.389,4.895,4.167,5.634,1.351,2.389,1.01,7.143,7.914,3.448,0.671,-1.639,1.351,1.351,7.143,7.914,11.524,16.279,22.449,38.889,49.254,55.44,63.934,63.043,NaN,64.835,61.29,60.428,58.73,65.746,72.414,81.818,73.41,80.723,73.41,72.414,67.598,72.414,81.818,84.049,96.078,105.479,106.897,102.703,94.805,89.873,98.675,97.368,100.0,118.978,111.268,108.333,118.978,108.333,111.268,106.897,97.368
ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,0.812,1.533,2.265,3.007,3.652,4.359,4.966,5.635,6.257,6.885,7.522,8.107,8.758,9.477,10.144,10.944,11.692,12.514,13.284,14.13,14.922,15.725,16.54,17.296,18.063,19.125,NaN,19.916,20.424,20.79,21.306,21.752,22.202,22.654,23.187,23.724,24.188,24.733,25.205,25.601,26.079,26.561,27.046,27.535,28.111,28.525,29.026,29.446,29.954,30.381,30.896,31.328,31.589,32.114,32.644,33.088,33.535,33.985,34.438
MJL,AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON,1.63,1.994,3.352,3.958,4.186,4.897,5.461,5.543,4.746,6.446,3.171,2.273,2.968,2.772,1.591,3.686,7.382,9.146,11.976,19.37,21.875,37.247,40.607,42.888,45.506,44.487,NaN,44.281,40.834,43.45,48.884,51.166,49.759,49.224,49.338,53.655,52.09,51.218,48.68,49.189,49.952,49.161,54.976,53.272,54.442,56.719,58.766,56.18,60.275,58.309,62.999,70.089,65.87,68.526,71.184,68.11,68.408,70.089,67.697
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,0.278,0.989,6.677,11.621,10.648,9.03,10.0,9.769,9.182,9.538,9.156,9.615,8.752,7.804,7.164,12.02,13.95,14.673,18.432,24.523,25.354,38.31,41.818,41.732,39.129,36.819,NaN,44.835,42.29,45.418,48.498,48.969,54.354,62.357,61.91,64.116,64.059,60.307,57.195,56.776,56.254,58.575,63.83,63.716,67.63,69.383,68.654,68.472,72.62,72.304,73.706,84.124,82.266,86.167,82.763,77.58,82.337,85.506,86.315
MMH,AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.556,6.964,-1.114,-4.725,-4.034,0.399,1.086,-3.034,0.053,3.499,7.697,4.794,9.399,13.362,20.595,23.498,27.744,36.26,39.641,42.706,39.434,54.803,72.625,75.518,62.124,78.975,NaN,59.72,58.779,65.649,69.636,63.53,61.637,53.887,59.924,64.35,62.929,84.041,66.05,60.161,52.21,67.786,58.479,55.026,56.505,64.565,71.409,72.744,74.422,87.425,90.599,100.638,117.036,112.511,130.572,132.85,161.512,154.97,148.501
MJB,AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU,4.577,3.291,0.954,5.193,2.219,3.591,1.637,1.205,0.563,4.769,4.348,1.746,1.782,0.67,1.818,4.884,8.717,9.091,13.378,18.408,21.274,35.291,44.024,46.087,47.979,49.451,NaN,46.386,45.122,48.983,52.158,55.81,56.322,48.133,45.863,50.633,50.633,51.512,49.061,43.879,42.515,42.373,46.012,48.75,49.294,50.237,49.451,46.012,47.292,49.686,49.451,57.182,55.133,61.447,67.018,60.09,67.213,66.143,57.965
ONE,AKTİF PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,1.237,1.609,-0.271,-0.54,1.052,2.41,2.839,1.984,3.513,5.54,7.49,6.712,7.963,8.867,10.999,12.069,14.035,15.284,16.869,18.435,19.073,23.326,26.866,26.72,24.929,27.451,NaN,26.866,27.085,28.19,28.788,29.089,29.315,28.863,30.077,31.002,31.313,32.653,31.783,31.548,31.313,32.415,32.494,32.653,33.293,33.777,34.102,34.756,35.666,36.336,36.504,36.757,37.867,37.867,39.432,40.228,42.397,42.581,42.305
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,2.54,1.72,6.357,12.622,6.357,4.264,6.268,6.984,2.623,3.669,7.617,7.436,4.264,1.72,0.713,3.122,10.903,13.173,17.189,16.973,16.384,31.83,38.962,38.056,36.427,31.557,NaN,33.913,33.141,37.534,42.625,47.677,54.121,66.318,63.537,64.702,60.038,56.975,53.101,47.677,45.481,44.489,46.909,45.814,47.079,50.652,49.237,52.458,62.285,64.702,62.908,68.858,78.331,82.818,85.215,71.015,79.972,83.61,80.996
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.477,7.104,-1.55,-7.344,-5.019,-1.767,-0.336,-4.149,0.338,4.709,16.199,16.275,22.436,28.913,36.531,41.527,49.12,58.556,63.211,66.417,65.488,80.793,102.62,103.314,82.837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
