Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks
TPC,TEB PORTFÖY BİRİNCİ FON SEPETİ FONU,1.865,2.018,0.237,0.654,3.864,5.943,5.547,2.667,8.488,8.942,7.729
TPJ,TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,0.507,1.316,1.281,2.451,2.974,4.617,5.035,5.395,5.248,6.406,6.784
TBT,TEB PORTFÖY BORÇLANMA ARAÇLARI FONU,0.501,0.948,0.825,0.966,1.532,2.461,3.281,3.418,3.681,3.766,4.146
TPL,TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,0.378,1.081,1.066,1.935,2.564,4.06,4.452,4.584,4.749,6.548,6.891
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,7.106,9.187,6.552,11.151,18.961,20.233,24.723,14.127,20.585,21.534,18.846
TYH,TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.03,12.165,13.57,16.738,25.635,22.523,33.333,36.0,51.955,47.027,43.915
IDY,TEB PORTFÖY İKİNCİ DEĞİŞKEN FON,0.0,2.0,0.0,0.0,2.0,4.082,6.25,6.25,6.25,8.511,8.511
TJI,TEB PORTFÖY İKİNCİ FON SEPETİ FONU,3.163,2.773,2.193,3.293,4.887,6.254,8.516,8.3,12.096,11.866,10.576
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,0.599,1.448,2.0,2.859,3.52,4.554,4.949,4.99,3.76,4.351,5.018
MTX,TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,2.657,5.141,4.196,13.37,8.195,10.254,15.632,11.432,14.741,11.79,6.646
TE3,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,0.657,1.904,2.03,1.801,2.331,3.466,4.157,4.651,5.715,6.312,6.965
SHE,TEB PORTFÖY ÖNCE KADIN DEĞİŞKEN FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TOT,TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0.327,0.65,0.975,1.295,1.611,1.97,2.297,2.622,2.951,3.281,3.595
TPP,TEB PORTFÖY PUSULA SERBEST FON,3.612,8.957,12.549,13.698,16.906,19.559,23.629,24.855,30.064,30.59,29.336
TBE,TEB PORTFÖY SAĞLIK VE BİYOTEKNOLOJİ DEĞİŞKEN FON,5.273,7.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
