ZFB,19.390057818684184
IRT,16.491831274456242
GUH,16.037904140770518
YZC,15.901563812377796
IJZ,15.89595823765312
CPU,15.872129143203622
KRS,15.787238860895652
MTX,15.369312586172937
FSH,14.958662504632066
IZS,14.903985520591007
HKR,14.70375013983302
TFF,14.657393096342098
ZMY,14.470053571564598
KHT,14.364831472892051
DEF,14.356697272589486
TAU,14.2695739471269
IJC,14.076737567215684
YCP,14.052898231466164
GZY,14.027672471716714
DVT,13.893222916326891
ADP,13.77907863246729
YZH,13.68694452335538
MET,13.650145839245344
YAY,13.572247391120666
BVV,13.56671161200362
PPB,13.487459040213231
YJK,13.450382096977378
HOA,13.319969864930323
HVZ,13.229213661984204
OJT,13.20097866264351
TMG,13.171990436771315
ODP,13.116016651103545
TGR,13.10116969652533
RTG,13.01411677584395
TI2,12.913587542153374
ITP,12.900130884626094
KUB,12.877408311177478
IHK,12.723102644066357
AFT,12.6397137482017
AFA,12.552388332318598
IVY,12.42875827915265
TBE,12.39184084115272
GZZ,12.385536592021484
TYH,12.239913853093883
KST,12.17550062249248
OBI,12.074722058210842
AFS,11.898044556863512
BTE,11.859636347928577
DTZ,11.809072869606243
IJP,11.798102248121667
