fund_name,fund_title,start_date,start_date_price,end_date,end_date_price,percentage_change
TLH,N/A,2024-02-02,N/A,2024-02-02,N/A,N/A
AOY,AK PORTFÖY ALTERNATIVE ENERGY FOREIGN SHARE FUND,2024-02-02,0.200745,2024-02-02,0.200745,0.0
AFO,AK ASSET MANAGEMENT GOLD FUND,2024-02-02,0.431953,2024-02-02,0.431953,0.0
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,2024-02-02,32.778684,2024-02-02,32.778684,0.0
