Full Fund Name,Fund,7 Weeks
AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,CPU,16.95
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,16.66
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,16.38
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,15.83
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,15.60
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,15.56
TEB ASSET MANAGEMENT AMERICA TECHNOLOGY FOREIGN BYF FUND BASKET FUND,TFF,15.16
TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,MTX,15.13
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,14.96
AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,ZFB,14.95
YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,YZC,14.94
YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,YAY,14.90
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,14.69
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,14.56
KARE PORTFÖY SERBEST (DÖVİZ) FON,KRS,14.56
DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,DVT,14.31
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,14.28
AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,AFT,14.20
ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),KHT,14.18
ALLBATROSS PORTFÖY DEFNE SERBEST FON,DEF,14.16
GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,MET,13.96
ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,RTG,13.17
BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,BTE,13.12
TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,KIB,13.03
OSMANLI PORTFÖY BİRİNCİ SERBEST FON,ODP,12.92
İŞ PORTFÖY TEKNOLOJİ KARMA FON,ITP,12.84
ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HVZ,12.78
A1 PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BST,12.46
AK ASSET MANAGEMENT AMERICA FOREIGN EQUITY FUND,AFA,12.18
ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),KST,12.18
HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NNF,11.98
AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,MTV,11.90
İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),IHK,11.90
A1 PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BIH,11.83
HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKR,11.82
AK ASSET MANAGEMENT OIL FOREIGN ETF FUND BASKET FUND,AES,11.77
İŞ ASSET MANAGEMENT FOREIGN EQUITY FUND,TMG,11.74
HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),FNT,11.65
KARE ASSET MANAGEMENT SECOND BONDS AND BILLS (FX) FUND,KUB,11.63
YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,YJK,11.50
İŞ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TI2,11.32
HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HKH,11.23
INVEO ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),GAF,11.17
AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,DTZ,11.11
PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),PPB,11.09
ATLAS PORTFÖY İKİNCİ SERBEST (TL) FON,DFI,10.97
İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IJP,10.95
QİNVEST ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),EID,10.68
AZİMUT PORTFÖY AKÇE SERBEST FON,PPF,10.63
TEB PORTFÖY SAĞLIK VE BİYOTEKNOLOJİ DEĞİŞKEN FON,TBE,10.49
