Full Fund Name,Fund,13 Weeks
ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),LLA,73.46
AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,ZFB,50.60
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,39.09
DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,DVT,37.86
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,36.46
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,36.34
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,36.01
YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,YZC,35.51
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,34.31
TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,MTX,34.20
TEB ASSET MANAGEMENT AMERICA TECHNOLOGY FOREIGN BYF FUND BASKET FUND,TFF,33.51
YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,YAY,33.20
ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,RTG,31.90
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,31.43
TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,KIB,31.11
İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IVY,30.89
AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,AFT,30.69
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,30.54
AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ICZ,30.25
FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,FJB,29.97
GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,MET,29.59
KARE PORTFÖY SERBEST (DÖVİZ) FON,KRS,28.86
BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,BTE,28.73
AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,MTV,28.50
OSMANLI PORTFÖY BİRİNCİ SERBEST FON,ODP,28.44
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,28.20
YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,YJK,28.08
İŞ PORTFÖY TEKNOLOJİ KARMA FON,ITP,27.77
GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,GZY,27.75
İŞ ASSET MANAGEMENT FOREIGN EQUITY FUND,TMG,26.64
AK ASSET MANAGEMENT AMERICA FOREIGN EQUITY FUND,AFA,26.43
QİNVEST ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),EID,26.17
İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,IEV,26.17
İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IJP,25.91
İŞ ASSET MANAGEMENT BIST TECHNOLOGY CAPPED INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TTE,25.39
AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,DTZ,25.15
GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,GBV,24.70
GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,GZZ,24.66
AK PORTFÖY HEALTH SECTOR FOREIGN SHARE FUND,AFS,24.20
AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,TGR,24.01
INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,IUH,23.54
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,23.33
A1 PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BST,22.63
YAPI KREDİ ASSET MANAGEMENT FX FUND OF FUNDS,YTD,22.04
AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU,MJB,21.77
AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ASJ,21.74
İSTANBUL PORTFÖY ALTINCI SERBEST FON,IZS,21.65
INVEO ASSET MANAGEMENT FIRST VARIABLE FUND,GPG,21.59
KARE ASSET MANAGEMENT SECOND BONDS AND BILLS (FX) FUND,KUB,21.52
KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU,KSR,21.49
