Full Fund Name,Fund,12 Weeks
ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),LLA,75.38
AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,ZFB,44.62
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,33.16
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,32.13
DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,DVT,31.73
YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,YZC,31.38
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,31.20
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,30.30
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,29.70
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,29.32
TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,MTX,28.93
TEB ASSET MANAGEMENT AMERICA TECHNOLOGY FOREIGN BYF FUND BASKET FUND,TFF,28.74
YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,YAY,28.42
ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,RTG,26.74
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,25.99
İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IVY,25.87
GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,GZY,25.79
TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,KIB,25.67
KARE PORTFÖY SERBEST (DÖVİZ) FON,KRS,25.12
AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ICZ,25.04
İSTANBUL PORTFÖY ALTINCI SERBEST FON,IZS,24.76
GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,MET,24.75
OSMANLI PORTFÖY BİRİNCİ SERBEST FON,ODP,24.74
AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,AFT,24.03
FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,FJB,23.82
QİNVEST ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),EID,23.67
İŞ ASSET MANAGEMENT BIST BANKS INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TAU,23.59
İŞ PORTFÖY TEKNOLOJİ KARMA FON,ITP,23.55
AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,MTV,23.29
BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,BTE,23.20
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,23.18
GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,GZZ,23.02
TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),YZH,22.80
AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,DTZ,22.78
AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,TGR,22.58
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,22.51
YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,YJK,22.46
İŞ ASSET MANAGEMENT FOREIGN EQUITY FUND,TMG,22.43
YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YCP,22.39
AK ASSET MANAGEMENT BIST BANK INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),ADP,22.23
AK ASSET MANAGEMENT AMERICA FOREIGN EQUITY FUND,AFA,22.14
İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,IEV,21.93
A1 PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BIH,21.75
İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IJP,21.75
İŞ ASSET MANAGEMENT BIST TECHNOLOGY CAPPED INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TTE,21.56
GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,GBV,21.43
AK PORTFÖY HEALTH SECTOR FOREIGN SHARE FUND,AFS,21.32
GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,GZN,20.58
INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,IUH,20.50
PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),PPB,20.39
