Full Fund Name,Fund,11 Weeks
AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,ZFB,37.58
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,29.65
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,27.26
YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,YZC,26.01
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,25.54
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,25.44
DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,DVT,25.29
İŞ ASSET MANAGEMENT BIST BANKS INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TAU,25.11
TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),YZH,24.55
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,24.28
YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YCP,23.95
AK ASSET MANAGEMENT BIST BANK INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),ADP,23.91
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,23.83
YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,YAY,22.83
TEB ASSET MANAGEMENT AMERICA TECHNOLOGY FOREIGN BYF FUND BASKET FUND,TFF,22.72
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,22.42
AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ICZ,22.40
KARE PORTFÖY SERBEST (DÖVİZ) FON,KRS,22.18
ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),LLA,22.14
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,21.96
İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IVY,21.94
ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,RTG,21.88
TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,KIB,21.77
TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,MTX,21.70
OSMANLI PORTFÖY BİRİNCİ SERBEST FON,ODP,20.68
GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,GZZ,20.15
YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,YJK,20.09
AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,AFT,19.93
GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,MET,19.69
İŞ ASSET MANAGEMENT BIST TECHNOLOGY CAPPED INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TTE,19.34
İŞ PORTFÖY TEKNOLOJİ KARMA FON,ITP,19.27
İSTANBUL PORTFÖY ALTINCI SERBEST FON,IZS,19.13
BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,BTE,18.76
İŞ ASSET MANAGEMENT FOREIGN EQUITY FUND,TMG,18.73
GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,GZY,18.64
İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,IEV,18.61
AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,DTZ,18.56
AK PORTFÖY HEALTH SECTOR FOREIGN SHARE FUND,AFS,18.54
İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IJP,18.45
AK ASSET MANAGEMENT AMERICA FOREIGN EQUITY FUND,AFA,18.39
GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,GZN,18.28
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,18.28
GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,GBV,18.04
QİNVEST ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),EID,17.86
FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,FJB,17.59
A1 PORTFÖY ALTIN FONU,PAF,17.36
KARE ASSET MANAGEMENT SECOND BONDS AND BILLS (FX) FUND,KUB,17.33
HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKR,16.91
INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,IUH,16.85
AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,TGR,16.84
