Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks
IPB,ISTANBUL ASSET MANAGEMENT FIRST VARIABLE FUND,1.538,4.762,4.762,5.6,6.452,6.452,5.6,3.125,4.762,7.027,10.0,11.864,14.783,15.116,14.451,12.821,11.864,16.814,,25.316,22.222,30.693,33.333,32.886,34.694,34.237
IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),5.335,7.562,11.15,16.425,18.218,13.505,13.393,13.154,14.739,15.124,16.702,15.1,20.034,20.903,19.891,15.232,11.822,17.363,,21.09,19.774,25.491,31.357,31.639,41.823,52.379
TAU,İŞ ASSET MANAGEMENT BIST BANKS INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),2.319,0.57,-0.843,11.709,14.239,5.373,5.373,11.356,16.887,22.569,27.437,27.899,26.523,22.569,20.89,13.141,10.658,16.118,,27.899,17.276,30.741,30.741,32.707,34.733,50.855
TTE,İŞ ASSET MANAGEMENT BIST TECHNOLOGY CAPPED INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),9.144,15.515,17.134,21.29,31.469,23.481,21.683,16.409,12.913,14.286,24.71,30.329,32.628,36.976,34.286,27.242,22.876,31.01,,43.511,43.786,54.415,69.752,63.478,70.909,69.752
TI2,İŞ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),4.847,6.791,8.839,15.649,18.619,15.615,16.913,16.711,18.386,18.818,22.658,21.34,24.341,23.927,23.199,17.38,13.538,19.034,,23.362,21.748,28.796,34.477,30.496,37.724,44.472
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.065,6.972,8.99,15.728,18.887,16.344,18.048,17.564,18.428,19.397,23.455,21.803,24.949,23.921,23.605,18.199,13.471,17.821,,21.497,19.943,27.391,33.208,30.893,38.216,47.111
IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,1.321,5.651,7.909,13.747,13.419,12.791,13.376,17.129,17.409,20.843,27.658,31.347,34.917,38.134,31.435,29.419,32.734,38.685,,42.671,41.34,44.804,54.135,55.474,59.374,59.46
KYA,KARE ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),6.757,8.219,9.553,,17.91,14.493,13.76,10.92,10.233,9.217,13.397,11.617,14.863,16.176,18.303,13.217,10.575,13.397,18.896,19.496,18.5,,30.22,27.648,31.423,36.731
NRC,NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,4.499,5.716,6.123,14.832,18.987,13.382,13.349,12.853,12.077,12.377,17.431,14.061,16.523,14.964,14.437,11.999,11.873,13.494,19.7,24.883,24.358,28.809,28.353,35.562,39.539,46.767
NHY,NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),6.575,9.002,10.016,20.757,25.195,18.829,18.34,17.133,16.252,15.55,20.108,17.819,20.0,18.235,18.479,16.017,15.517,19.857,25.39,26.654,21.818,30.139,29.552,38.764,43.469,52.91
PPB,PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),5.068,6.269,7.44,17.892,23.086,15.849,16.461,16.735,19.238,20.153,23.855,22.655,26.488,25.053,22.001,14.291,11.695,18.597,,19.67,19.095,24.816,30.597,27.164,33.648,40.297
EID,QİNVEST ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),4.057,7.82,9.316,16.35,18.858,17.216,17.216,15.136,15.861,16.105,18.348,22.692,28.705,31.31,31.153,26.782,21.209,25.484,29.308,27.514,26.201,33.213,37.36,37.36,45.899,50.477
OJT,QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,-0.425,4.878,6.354,10.725,9.127,10.205,10.595,14.206,12.722,13.459,16.563,21.456,25.455,30.885,27.157,25.053,29.439,33.153,33.647,31.399,31.917,32.364,35.423,37.975,36.409,33.953
RHS,ROTA PORTFÖY HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),4.684,7.002,8.364,14.579,16.977,14.249,12.843,,12.594,9.997,15.021,13.021,12.808,13.596,13.994,9.727,5.053,9.794,16.029,16.558,15.541,24.86,33.036,32.69,41.232,53.082
YZH,TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),2.258,0.309,-1.424,11.133,13.488,4.816,4.727,10.933,16.251,21.792,26.572,27.357,25.566,21.575,19.546,12.288,10.1,15.294,20.458,27.2,16.648,29.909,29.772,31.884,33.485,49.237
TYH,TEB ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),5.294,7.094,9.72,17.322,19.904,15.697,17.212,16.019,18.096,18.768,21.415,20.134,24.059,24.182,21.769,16.019,13.087,18.768,21.532,20.481,18.431,24.429,29.845,24.801,30.385,40.471
YCP,YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),2.278,0.545,-1.092,11.253,13.741,5.238,5.193,11.377,16.643,21.715,26.344,26.762,25.17,21.448,19.325,12.053,9.83,14.816,19.899,26.248,16.181,29.395,28.96,30.994,32.456,47.513
YHZ,YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),8.601,14.818,16.626,20.494,30.675,23.035,21.521,15.68,12.833,11.397,15.472,20.494,22.332,26.636,30.321,25.481,22.604,28.882,33.948,38.925,40.445,50.96,63.594,59.992,65.066,66.71
ZMY,ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,1.996,8.493,10.885,14.8,15.708,16.042,16.63,18.695,16.757,18.128,20.381,26.782,32.306,38.75,35.48,30.008,31.441,35.309,40.568,39.05,38.571,39.774,46.053,47.121,48.273,45.459
