Full Fund Name,Fund,9 Weeks
AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,ZFB,27.05
İŞ ASSET MANAGEMENT BIST BANKS INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TAU,19.80
YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,YZC,19.62
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,19.27
TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),YZH,19.10
YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YCP,19.01
AK ASSET MANAGEMENT BIST BANK INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),ADP,18.87
İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IVY,18.77
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,18.35
İSTANBUL PORTFÖY ALTINCI SERBEST FON,IZS,17.14
AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,CPU,16.84
KARE PORTFÖY SERBEST (DÖVİZ) FON,KRS,16.71
DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,DVT,16.56
TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,MTX,16.50
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,16.47
TEB ASSET MANAGEMENT AMERICA TECHNOLOGY FOREIGN BYF FUND BASKET FUND,TFF,16.17
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,16.02
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,15.80
TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,KIB,15.39
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,15.21
YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,YAY,15.04
A1 PORTFÖY BİRİNCİ DEĞİŞKEN FON,BHF,14.88
BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,BTE,14.80
GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,MET,14.63
HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKR,14.55
GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,GZZ,14.45
OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU,OBI,14.43
PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),PPB,14.36
ALLBATROSS PORTFÖY DEFNE SERBEST FON,DEF,14.30
ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),KHT,14.26
ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,RTG,14.19
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,14.10
OSMANLI PORTFÖY BİRİNCİ SERBEST FON,ODP,14.03
YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,YJK,13.98
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,13.94
İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IJP,13.93
KARE ASSET MANAGEMENT SECOND BONDS AND BILLS (FX) FUND,KUB,13.84
A1 PORTFÖY ALTIN FONU,PAF,13.82
İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),IHK,13.64
İŞ PORTFÖY TEKNOLOJİ KARMA FON,ITP,13.52
INVEO ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),GAF,13.40
İŞ ASSET MANAGEMENT FOREIGN EQUITY FUND,TMG,13.40
İŞ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TI2,13.33
GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,GBV,13.10
AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,AFT,13.06
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,12.94
AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,DTZ,12.84
TEB PORTFÖY SAĞLIK VE BİYOTEKNOLOJİ DEĞİŞKEN FON,TBE,12.79
AK PORTFÖY HEALTH SECTOR FOREIGN SHARE FUND,AFS,12.78
TEB ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TYH,12.77
