Full Fund Name,Fund,10 Weeks
AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,ZFB,30.39
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,25.99
İŞ ASSET MANAGEMENT BIST BANKS INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TAU,24.51
TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),YZH,23.78
YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YCP,23.52
AK ASSET MANAGEMENT BIST BANK INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),ADP,23.47
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,23.47
YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,YZC,23.11
İSTANBUL PORTFÖY ALTINCI SERBEST FON,IZS,21.20
DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,DVT,20.67
İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IVY,19.59
HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKR,19.34
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,19.29
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,19.26
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,18.56
TEB ASSET MANAGEMENT AMERICA TECHNOLOGY FOREIGN BYF FUND BASKET FUND,TFF,18.24
TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,KIB,18.14
KARE PORTFÖY SERBEST (DÖVİZ) FON,KRS,18.08
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,18.04
TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,MTX,17.96
PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),PPB,17.88
YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,YAY,17.60
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,17.57
İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),IHK,17.50
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,17.04
İŞ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TI2,16.99
ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,RTG,16.87
AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,CPU,16.84
GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,MET,16.71
INVEO ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),GAF,16.47
GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),GBH,16.32
GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,GZZ,16.30
AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ICZ,16.22
OSMANLI PORTFÖY BİRİNCİ SERBEST FON,ODP,16.20
GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,GBV,16.16
İŞ PORTFÖY TEKNOLOJİ KARMA FON,ITP,16.07
İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IJP,16.04
AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,AFT,15.81
YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,YJK,15.75
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,15.73
OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU,OBI,15.68
ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),KHT,15.49
İŞ ASSET MANAGEMENT FOREIGN EQUITY FUND,TMG,15.43
HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKM,15.41
TEB ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TYH,15.29
AK PORTFÖY HEALTH SECTOR FOREIGN SHARE FUND,AFS,15.29
KARE ASSET MANAGEMENT SECOND BONDS AND BILLS (FX) FUND,KUB,15.19
A1 PORTFÖY BİRİNCİ DEĞİŞKEN FON,BHF,15.12
İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BIO,15.08
ALLBATROSS PORTFÖY DEFNE SERBEST FON,DEF,14.86
