Full Fund Name,Fund,2 Weeks
ATLAS PORTFÖY İKİNCİ SERBEST (TL) FON,DFI,13.51
ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),LLA,12.23
ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),GIH,10.63
AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ICZ,10.40
HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HGM,10.23
DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),DHJ,9.33
A1 PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BIH,9.01
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,8.90
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,8.70
ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),ZJL,8.45
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,8.41
HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),FNT,8.30
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,8.16
HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NNF,8.02
AURA ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TLH,7.96
STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON,SVB,7.57
İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),IDH,7.49
DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),DTL,7.40
YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),YHZ,7.40
HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HKH,7.24
DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),DKH,7.22
İŞ ASSET MANAGEMENT BIST TECHNOLOGY CAPPED INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TTE,7.19
AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,CPU,7.16
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,7.12
KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),KPU,7.00
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,6.98
ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,CPT,6.97
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,6.81
ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON,ZDZ,6.80
AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BUL,6.75
