Full Fund Name,Fund,5 Weeks
ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),LLA,20.73
A1 PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BST,19.10
ATLAS PORTFÖY İKİNCİ SERBEST (TL) FON,DFI,18.04
HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),FNT,17.23
A1 PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BIH,15.94
ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),AOJ,15.55
HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NNF,15.55
DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),DHJ,15.30
ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),KHT,15.26
HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HGM,15.19
YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YHB,14.51
AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ICZ,14.46
HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HKH,14.44
İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),IDH,13.93
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,13.78
QNB FİNANS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BID,13.72
ALLBATROSS PORTFÖY DEFNE SERBEST FON,DEF,13.50
ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HVZ,13.47
ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),GIH,13.35
YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),YHZ,13.28
İŞ ASSET MANAGEMENT BIST TECHNOLOGY CAPPED INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TTE,13.00
AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,CPU,12.78
QİNVEST ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),EID,12.68
ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),ZJL,12.52
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,12.15
GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),GBH,12.13
HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKR,11.93
TACİRLER ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TKF,11.62
YAPI KREDİ ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),YHS,11.57
NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NHY,11.48
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,11.34
HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON,HMC,11.10
ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),ZLH,11.09
HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKM,11.03
INVEO ASSET MANAGEMENT SECOND EQUITY FUND (EQUITY-INTENSIVE FUND),GMR,10.83
DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),DTL,10.76
İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),IHK,10.74
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,10.68
QNB FINANS ASSET MANAGEMENT FIRST EQUITY FUND  (EQUITY-INTENSIVE FUND),FYD,10.64
GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),GOH,10.60
INVEO ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),GAF,10.60
KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),KPC,10.56
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,10.54
YAPI KREDİ PORTFÖY KARAKÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YUB,10.34
DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),DKH,10.29
ÜNLÜ ASSET MANAGEMENT SECOND VARIABLE FUND,SUB,10.28
İŞ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TI2,10.27
TERA PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,TMV,10.27
PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),PPB,10.24
STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON,SVB,10.21
MARMARA CAPITAL ASSET MANAGEMENT EQUITY (TL) FUND (EQUITY-INTENSIVE FUND),MAC,10.18
HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON,HJB,10.12
AURA ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TLH,10.11
ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),IHA,10.06
ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),KST,9.99
AZİMUT PORTFÖY AKÇE SERBEST FON,PPF,9.95
OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),OPI,9.92
TEB ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TYH,9.88
ATA ASSET MANAGEMENT SECOND EQUITY (TL) FUND (EQUITY-INTENSIVE FUND),AAV,9.88
ISTANBUL ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),ACK,9.84
ÜNLÜ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),UPH,9.77
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,9.75
KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),KPU,9.70
AURA PORTFÖY BODRUM SERBEST FON,BDC,9.68
MEKSA ASSET MANAGEMENT FIRST VARIABLE FUND,MAD,9.58
TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,MTX,9.46
DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,DVT,9.44
ATLAS ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),AHI,9.31
AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BUY,9.27
GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,MET,9.22
ROTA PORTFÖY HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),RHS,9.16
GLOBAL MD PORTFÖY KATILIM FONU,GKF,9.14
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,9.13
HSBC ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),HVS,9.11
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,9.11
OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),OPH,9.10
YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,YZC,9.06
İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BIO,9.05
QİNVEST ASSET MANAGEMENT SECOND VARIABLE FUND,EIC,9.02
TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,KIB,8.95
AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,MTV,8.94
QİNVEST ASSET MANAGEMENT VARIABLE FUND,EIB,8.92
RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),RTH,8.87
AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,AFT,8.77
DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),DLD,8.76
HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HMS,8.75
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,8.73
FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),FSG,8.67
İŞ PORTFÖY TEKNOLOJİ KARMA FON,ITP,8.58
QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),ELZ,8.57
BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,BTE,8.56
AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,APJ,8.55
NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,NRC,8.50
OSMANLI PORTFÖY BİRİNCİ SERBEST FON,ODP,8.50
DENİZ ASSET MANAGEMENT BIST DIVIDEND 25 INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),DPT,8.45
YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,YAY,8.44
ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,CPT,8.40
AK ASSET MANAGEMENT BIST DIVIDEND 25 INDEX EQUITY (TL) FUND (EQUITY-INTENSIVE FUND),ALC,8.39
AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ASJ,8.34
ICBC TURKEY ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),ICF,8.32
