Full Fund Name,Fund,3 Weeks
ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),LLA,18.11
HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HGM,15.24
AURA ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TLH,14.66
AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ICZ,14.60
DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),DHJ,13.87
A1 PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BIH,13.87
NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NHY,13.29
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,12.87
YAPI KREDİ ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),YHS,12.85
HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NNF,12.81
INVEO ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),GAF,12.80
YAPI KREDİ PORTFÖY KARAKÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YUB,12.65
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,12.53
GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),GBH,12.49
AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,CPU,12.41
ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),ZJL,12.37
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,12.26
ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),GIH,12.20
PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),PPB,12.20
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,12.10
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,11.92
HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),FNT,11.90
QİNVEST ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),EID,11.86
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,11.78
INVEO ASSET MANAGEMENT SECOND EQUITY FUND (EQUITY-INTENSIVE FUND),GMR,11.70
HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HKH,11.57
TEB ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TYH,11.50
QNB FİNANS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BID,11.49
ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),KHT,11.45
ISTANBUL ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),ACK,11.41
HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HMS,11.39
DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),DTL,11.35
YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YHB,11.34
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,11.21
DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),DKH,11.12
İŞ ASSET MANAGEMENT BIST TECHNOLOGY CAPPED INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TTE,11.08
ATLAS PORTFÖY İKİNCİ SERBEST (TL) FON,DFI,11.07
ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),AOJ,10.99
ALLBATROSS PORTFÖY DEFNE SERBEST FON,DEF,10.96
YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),YHZ,10.95
QNB FINANS ASSET MANAGEMENT FIRST EQUITY FUND  (EQUITY-INTENSIVE FUND),FYD,10.92
ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,CPT,10.90
ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON,ZDZ,10.89
İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),IDH,10.82
ATA ASSET MANAGEMENT SECOND EQUITY (TL) FUND (EQUITY-INTENSIVE FUND),AAV,10.80
HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKR,10.74
KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),KPC,10.60
FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),FSG,10.58
HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKM,10.56
İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),IIH,10.53
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,10.50
MARMARA CAPITAL ASSET MANAGEMENT EQUITY (TL) FUND (EQUITY-INTENSIVE FUND),MAC,10.50
İŞ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TI2,10.30
DENİZ ASSET MANAGEMENT BIST DIVIDEND 25 INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),DPT,10.18
OYAK ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),OHB,10.17
İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),IHK,10.15
HSBC ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),HVS,10.14
GARANTİ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),GHS,10.09
ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),ZLH,10.04
AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,APJ,10.01
AK ASSET MANAGEMENT BIST DIVIDEND 25 INDEX EQUITY (TL) FUND (EQUITY-INTENSIVE FUND),ALC,9.97
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,9.91
GLOBAL MD ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),EC2,9.90
NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,NRC,9.89
RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),RTH,9.88
