Full Fund Name,Fund,8 Weeks
AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,ZFB,19.39
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,16.49
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,16.04
YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,YZC,15.90
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,15.90
AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,CPU,15.87
KARE PORTFÖY SERBEST (DÖVİZ) FON,KRS,15.79
TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,MTX,15.37
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,14.96
İSTANBUL PORTFÖY ALTINCI SERBEST FON,IZS,14.90
HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKR,14.70
TEB ASSET MANAGEMENT AMERICA TECHNOLOGY FOREIGN BYF FUND BASKET FUND,TFF,14.66
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,14.47
ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),KHT,14.36
ALLBATROSS PORTFÖY DEFNE SERBEST FON,DEF,14.36
İŞ ASSET MANAGEMENT BIST BANKS INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TAU,14.27
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,14.08
YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YCP,14.05
GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,GZY,14.03
DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,DVT,13.89
AK ASSET MANAGEMENT BIST BANK INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),ADP,13.78
TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),YZH,13.69
GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,MET,13.65
YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,YAY,13.57
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,13.57
PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),PPB,13.49
YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,YJK,13.45
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,13.32
ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),HVZ,13.23
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,13.20
İŞ ASSET MANAGEMENT FOREIGN EQUITY FUND,TMG,13.17
OSMANLI PORTFÖY BİRİNCİ SERBEST FON,ODP,13.12
AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,TGR,13.10
ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,RTG,13.01
İŞ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TI2,12.91
İŞ PORTFÖY TEKNOLOJİ KARMA FON,ITP,12.90
KARE ASSET MANAGEMENT SECOND BONDS AND BILLS (FX) FUND,KUB,12.88
İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),IHK,12.72
AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,AFT,12.64
AK ASSET MANAGEMENT AMERICA FOREIGN EQUITY FUND,AFA,12.55
İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IVY,12.43
TEB PORTFÖY SAĞLIK VE BİYOTEKNOLOJİ DEĞİŞKEN FON,TBE,12.39
GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,GZZ,12.39
TEB ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TYH,12.24
ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),KST,12.18
OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU,OBI,12.07
AK PORTFÖY HEALTH SECTOR FOREIGN SHARE FUND,AFS,11.90
BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,BTE,11.86
AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,DTZ,11.81
İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IJP,11.80
