Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks,73 Weeks,74 Weeks
IRY,INVEO PORTFÖY PARA PİYASASI (TL) FONU,0.913,1.754,2.608,3.477,4.081,4.786,5.644,6.517,7.404,8.256,9.121,9.896,11.000,12.017,12.944,13.998,15.129,16.166,17.281,18.358,19.454,20.571,21.709,22.869,23.985,25.121,26.279,27.457,28.659,29.882,31.056,32.251,33.544,35.099,36.209,37.500,38.816,40.157,41.438,42.743,44.072,45.517,46.992,48.307,49.742,51.107,52.697,54.219,55.667,57.249,58.755,60.401,61.968,None,65.078,66.739,68.310,69.788,71.165,72.565,74.119,75.435,76.905,78.401,79.783,81.187,82.612,84.060,85.680,87.177,88.699,90.090,91.660,93.095
NVB,NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON,0.896,1.772,2.662,3.493,4.028,4.764,5.549,6.427,7.279,8.144,8.982,9.618,10.914,11.973,13.007,14.014,15.039,16.130,17.194,18.277,19.381,20.505,21.598,22.711,23.845,24.945,26.120,27.260,28.422,29.604,30.809,31.974,33.286,34.753,35.859,37.116,38.397,39.772,41.032,42.315,43.622,45.028,46.462,47.847,49.179,50.615,52.080,53.573,55.096,56.650,58.235,59.762,61.411,None,64.620,66.175,67.859,69.374,70.813,72.277,73.765,75.171,76.711,78.165,79.643,81.029,82.437,83.987,85.441,86.919,88.420,89.946,91.366,92.808
ZBJ,ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU,1.072,1.925,2.758,3.818,4.105,4.828,5.635,6.493,7.364,8.250,9.071,9.865,10.956,11.985,12.991,14.059,15.103,16.211,17.295,18.399,19.525,20.624,21.743,22.883,24.044,25.176,26.329,27.503,28.699,29.918,31.103,32.310,33.599,35.094,36.191,37.494,38.822,40.176,41.425,42.763,44.126,45.516,46.933,48.378,49.702,51.127,52.656,54.137,55.567,57.106,58.675,60.276,61.910,None,65.008,66.648,68.321,69.741,71.283,72.753,74.249,75.772,77.217,78.580,79.964,81.370,82.798,84.249,85.723,87.105,88.507,89.811,91.134,92.597
TPP,TEB PORTFÖY PUSULA SERBEST FON,4.321,7.548,4.283,6.120,6.619,3.915,6.908,8.897,7.770,9.178,10.419,11.901,11.910,12.846,12.362,11.227,16.438,14.401,14.857,17.448,17.710,20.644,21.934,21.967,23.188,22.841,32.738,31.445,27.620,27.797,31.560,30.524,30.671,29.121,27.117,29.786,30.979,29.282,29.869,30.831,34.622,37.970,40.694,43.402,42.923,46.744,50.002,47.442,52.566,57.948,61.838,65.404,64.420,None,63.040,58.751,52.606,55.767,58.151,58.490,59.493,63.611,67.824,69.767,75.573,73.354,76.007,79.698,92.046,84.608,82.451,86.618,86.850,88.122
NRG,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU,0.903,1.791,2.695,3.482,4.114,4.890,5.677,6.581,7.430,8.364,9.204,9.908,11.153,12.231,13.291,14.291,15.349,16.427,17.483,18.601,19.741,20.858,21.950,23.109,24.290,25.445,26.622,27.771,28.992,30.185,31.400,32.637,33.954,35.466,36.551,37.830,39.192,40.521,41.813,43.192,44.534,45.901,47.361,48.714,50.093,51.568,53.000,54.532,56.021,57.539,59.008,60.585,62.112,None,65.171,66.701,68.260,69.759,71.195,72.655,74.140,75.651,77.091,78.556,80.044,81.457,82.891,84.348,85.829,87.334,88.863,90.306,91.770,93.258
OKP,OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,1.298,2.000,2.602,3.799,3.715,4.366,5.140,5.956,6.754,7.595,8.265,8.881,10.358,11.419,12.434,13.434,14.452,15.489,16.509,17.620,18.641,19.906,21.006,22.087,23.149,24.269,25.369,26.404,27.415,28.528,29.705,30.814,31.988,33.415,34.446,35.638,36.901,38.037,39.294,40.522,41.824,43.205,44.503,45.770,47.115,48.371,49.706,51.246,52.695,54.110,55.425,56.827,58.189,None,60.985,62.558,64.304,65.656,66.958,68.206,69.548,70.988,72.375,73.706,75.218,76.838,78.073,82.578,84.160,85.500,87.042,88.331,89.732,90.964
IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,0.880,1.775,2.657,3.555,3.615,4.284,5.086,5.963,6.823,7.697,8.453,9.186,10.270,11.271,12.291,13.293,14.350,15.390,16.486,17.604,18.704,19.784,20.925,22.047,23.189,24.309,25.494,26.657,27.842,29.049,30.231,31.435,32.711,34.215,35.339,36.587,37.912,39.263,40.530,41.876,43.191,44.589,45.955,47.347,48.703,50.084,51.557,53.058,54.455,55.946,57.396,58.873,60.451,None,63.402,64.919,66.464,67.879,69.319,70.783,72.273,73.790,75.247,76.728,78.145,79.586,80.957,82.444,83.859,85.587,87.053,88.441,89.850,91.178
DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,0.904,1.786,2.685,3.561,4.491,5.319,6.160,7.055,7.966,8.892,9.792,10.750,11.680,12.717,13.727,14.755,15.803,16.869,17.955,19.062,20.189,21.286,22.456,23.595,24.754,25.879,27.082,28.250,29.439,30.650,31.885,33.079,34.425,35.930,36.997,38.286,39.670,41.010,42.304,43.621,44.964,46.408,47.803,49.225,50.593,51.987,53.491,55.025,56.590,58.097,59.634,61.201,62.704,None,65.697,67.186,68.701,70.140,71.604,73.094,74.609,76.040,77.608,79.089,80.478,81.889,83.443,84.901,86.382,87.887,89.288,90.841,92.287,93.754
KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,1.176,2.039,2.647,3.848,4.478,5.318,6.130,7.079,7.961,8.900,9.769,10.607,11.593,12.551,13.573,14.613,15.624,16.751,17.801,18.920,20.061,21.171,22.301,23.453,24.570,25.765,26.925,28.106,29.310,30.536,31.722,32.995,34.293,35.816,36.897,38.203,39.534,40.890,42.200,43.535,44.895,46.281,47.772,49.133,50.519,52.015,53.456,55.011,56.420,57.946,59.502,60.994,62.515,None,65.544,67.152,68.689,70.148,71.526,73.036,74.572,76.023,77.498,78.999,80.406,81.836,83.289,84.641,86.139,87.534,88.950,90.387,91.847,93.193
HVK,HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,0.888,1.823,2.711,3.615,4.535,5.405,6.254,7.187,8.101,9.103,10.087,11.089,12.071,13.109,14.167,15.285,16.302,17.379,18.433,19.594,20.688,21.803,22.939,24.096,25.323,26.526,27.752,28.901,30.122,31.367,32.529,33.821,35.082,36.593,37.735,39.072,40.435,41.763,43.056,44.435,45.841,47.209,48.602,49.955,51.401,52.876,54.307,55.766,57.252,58.843,60.311,61.807,63.330,None,66.381,67.992,69.460,70.954,72.385,73.840,75.226,76.635,78.066,79.521,80.999,82.503,83.929,85.377,86.954,88.451,89.971,91.405,92.861,94.225
EIL,QİNVEST PORTFÖY PARA PİYASASI FONU,0.932,1.779,2.710,3.623,4.264,5.023,5.940,6.873,7.785,8.713,9.617,10.536,11.471,12.463,13.431,14.415,15.461,16.526,17.611,18.716,19.795,20.893,22.012,23.152,24.262,25.393,26.544,27.717,28.857,30.073,31.255,32.460,33.745,35.236,36.331,37.631,38.955,40.305,41.550,42.884,44.175,45.629,47.042,48.409,49.728,51.147,52.669,54.143,55.567,57.098,58.577,60.169,61.793,None,64.872,66.502,68.164,69.575,71.106,72.567,74.053,75.565,76.999,78.458,79.941,81.340,82.761,84.204,85.671,87.045,88.440,89.856,91.293,92.753
IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,1.077,1.956,2.657,3.891,4.221,4.954,5.799,6.658,7.531,8.419,9.285,10.054,11.171,12.235,13.241,14.306,15.390,16.495,17.622,18.770,19.854,20.958,22.082,23.227,24.394,25.535,26.649,27.832,29.037,30.214,31.413,32.633,33.931,35.423,36.549,37.867,39.153,40.522,41.857,43.218,44.542,45.956,47.397,48.799,50.229,51.616,53.100,54.541,56.010,57.506,58.955,60.430,61.933,None,64.942,66.531,68.066,69.541,70.953,72.479,73.941,75.427,76.844,78.381,79.748,81.236,82.647,84.081,85.537,86.910,88.411,89.827,91.264,92.723
IDH,İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.293,1.219,-1.407,0.576,-1.065,-9.245,-6.659,-3.835,-5.816,-5.992,-6.954,-9.724,-10.826,-9.265,-9.629,-8.732,-6.557,-6.126,-7.667,-6.608,-3.324,-2.241,-0.916,3.687,3.913,8.544,7.009,6.928,7.372,0.612,-1.099,4.587,-1.600,1.159,-2.364,-4.416,-4.767,-11.325,-14.070,-16.111,-13.715,-12.986,-13.932,-11.233,-9.915,-8.849,-6.209,-8.673,-3.803,1.339,5.738,8.889,12.116,None,24.003,23.591,18.421,18.799,17.510,19.597,19.380,20.865,24.781,28.456,33.240,38.911,43.240,47.668,52.679,51.811,50.502,43.456,39.319,33.761
GO6,FONERİA PORTFÖY PARA PİYASASI (TL) FONU,1.058,1.921,2.710,3.916,4.143,4.967,5.757,6.655,7.568,8.447,9.341,10.249,11.485,12.588,13.606,14.642,15.698,16.773,17.868,18.924,20.060,21.157,22.273,23.475,24.635,25.750,26.954,28.180,29.361,30.563,31.861,33.110,34.384,35.913,37.005,38.355,39.649,40.968,42.312,43.596,44.991,46.324,47.772,49.157,50.567,52.005,53.470,54.864,56.385,57.832,59.413,60.916,62.560,None,65.718,67.227,68.763,70.207,71.552,73.043,74.434,75.847,77.283,78.743,80.226,81.597,82.989,84.402,85.837,87.294,88.775,90.127,91.500,92.892
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,1.431,7.936,7.921,11.294,11.586,18.127,19.473,20.659,17.619,21.136,26.166,29.516,30.666,33.397,35.666,35.546,35.811,37.989,34.051,37.964,35.235,35.762,41.456,37.518,32.934,36.537,36.708,40.187,41.534,41.430,47.505,50.907,51.414,51.834,52.348,57.844,62.742,62.707,68.582,61.882,68.917,72.805,72.961,73.274,77.081,74.777,74.977,74.141,72.727,76.510,74.698,73.274,65.628,None,78.236,76.959,77.410,87.396,91.761,103.103,107.507,113.168,109.036,107.226,110.299,108.410,109.781,109.953,114.002,118.709,122.071,123.562,125.272,131.539
UP2,ÜNLÜ PORTFÖY ONİKİNCİ SERBEST FON,0.896,1.726,2.568,3.468,4.077,4.782,5.631,6.495,7.372,8.264,9.027,9.849,10.882,11.834,12.802,13.891,15.002,16.081,17.124,18.243,19.325,20.428,21.551,22.635,23.800,24.924,26.133,27.235,28.423,29.634,30.798,31.983,33.262,34.712,35.820,37.099,38.401,39.808,41.083,42.381,43.703,45.050,46.509,47.909,49.247,50.608,52.088,53.598,55.041,56.610,58.110,59.742,61.303,None,64.409,65.841,67.410,68.780,70.289,71.706,73.147,74.612,75.977,77.491,78.902,80.335,81.791,83.136,84.638,86.165,87.576,89.152,90.462,91.938
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,0.712,7.810,7.605,11.637,9.478,16.701,18.163,20.940,18.908,21.720,25.221,28.929,30.115,32.553,35.084,31.935,32.243,35.084,30.115,33.176,30.115,28.929,34.762,31.935,29.224,31.935,32.553,36.386,36.715,37.379,41.500,48.168,48.168,49.735,49.340,55.923,63.584,61.254,65.982,60.795,69.461,66.962,67.456,70.482,74.154,71.515,71.515,70.482,68.955,73.620,72.036,70.482,62.178,None,72.561,73.089,72.561,80.255,83.766,95.172,100.709,109.630,105.818,104.332,110.409,106.569,108.088,108.088,111.985,113.585,120.233,120.233,121.094,126.400
