Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks,73 Weeks,74 Weeks
GKS,INVEO PORTFÖY İKİNCİ SERBEST FON,0.461,1.062,0.712,1.101,-0.286,-4.069,-2.948,-2.351,-1.580,-0.664,-0.400,-3.503,-4.262,-1.320,-1.450,-0.229,-0.400,-0.305,0.751,0.731,2.267,3.644,3.685,4.785,6.145,6.404,7.386,8.725,8.409,2.991,3.174,6.037,3.644,4.388,3.337,6.447,6.555,5.695,5.673,5.716,7.013,9.133,12.802,13.610,14.479,15.160,14.530,58.943,61.993,63.358,64.850,66.741,69.166,None,72.796,73.945,74.234,75.050,77.064,77.906,78.696,80.048,80.670,82.116,83.456,84.882,86.263,87.330,88.817,68.839,57.319,51.666,50.273,44.426
FYI,AZİMUT PORTFÖY 4.0 SERBEST FON,1.599,1.918,-0.805,-3.189,-4.286,-13.026,-11.209,-5.736,-10.849,-9.950,-7.643,-10.226,-10.978,-7.351,-9.314,-8.574,-9.673,-7.560,-11.426,-11.527,-10.278,-6.805,-6.295,4.475,4.742,5.748,6.295,6.737,5.603,6.830,9.022,9.428,11.467,11.386,11.871,12.752,13.457,14.682,16.173,16.790,17.997,19.046,20.113,20.772,22.671,23.780,24.782,25.981,27.151,28.691,29.230,30.960,32.282,None,34.329,35.480,36.470,37.291,38.277,38.681,40.901,41.939,43.093,43.660,45.560,46.808,48.042,49.117,50.207,51.054,52.023,53.004,53.347,55.867
TI2,İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.087,0.000,-1.064,-2.105,-4.124,-13.889,-13.084,-7.921,-7.921,-8.824,-7.921,-10.577,-10.577,-99.991,-99.991,-99.991,-99.991,-99.990,-99.991,-99.991,-99.990,-99.990,-99.990,-99.989,-99.989,-99.989,-99.989,-99.989,-99.989,-99.990,-99.990,-99.990,-99.990,-99.990,-99.990,-99.991,-99.991,-99.991,-99.991,-99.992,-99.991,-99.991,-99.991,-99.991,-99.991,-99.990,-99.990,-99.990,-99.990,-99.990,-99.989,-99.989,-99.988,None,-99.988,-99.987,-99.987,-99.987,-99.987,-99.987,-99.987,-99.987,-99.987,-99.987,-99.986,-99.986,-99.986,-99.985,-99.984,-99.985,-99.984,-99.984,-99.984,-99.984
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,0.379,0.379,-1.851,-1.851,-1.760,-11.106,-10.203,-8.341,-8.301,-7.622,-7.863,-7.783,-7.177,-5.397,-5.143,-3.940,-1.942,-1.027,0.189,0.474,1.971,2.961,3.363,5.733,7.392,9.443,11.867,14.155,14.835,13.422,13.971,14.773,13.362,13.180,12.639,14.525,15.586,15.523,15.586,16.283,16.603,18.293,20.511,20.855,21.478,22.460,24.253,24.035,25.950,27.387,29.725,31.413,31.985,None,34.071,34.924,37.549,38.446,39.723,41.778,46.074,47.394,48.947,50.319,53.251,55.613,56.763,58.757,59.234,60.804,62.903,64.546,66.223,67.536
KSA,HEDEF PORTFÖY KISA VADELİ SERBEST (TL) FON,0.866,1.747,2.643,3.602,4.437,5.335,6.199,7.077,8.020,8.980,9.958,11.005,11.965,13.052,14.048,15.119,16.209,17.321,18.454,19.548,20.663,21.798,22.955,24.068,25.269,26.424,27.601,28.800,30.022,31.268,32.537,33.754,35.072,36.577,37.707,39.021,40.446,41.814,43.208,44.631,46.082,47.468,48.977,50.420,51.890,53.390,54.920,56.481,58.073,59.698,61.246,62.937,64.432,None,67.626,69.208,70.696,72.210,73.751,75.188,76.649,78.135,79.784,81.182,82.745,84.335,85.805,87.450,88.970,90.515,92.086,93.682,95.142,96.624
PPF,AZİMUT PORTFÖY AKÇE SERBEST FON,0.703,1.586,0.635,0.838,1.724,1.210,2.311,3.294,2.730,3.793,4.514,3.829,3.972,5.874,6.624,6.662,7.577,8.625,9.534,10.743,12.063,14.318,14.798,16.757,17.624,18.785,18.691,19.255,20.400,19.873,21.224,22.857,22.707,24.432,24.586,25.052,25.469,24.638,24.535,24.329,25.941,27.380,29.074,30.247,32.424,33.837,34.676,35.342,37.318,38.327,39.159,40.261,41.514,None,43.538,44.295,45.481,46.686,47.549,49.677,47.912,49.380,51.485,54.597,58.421,61.221,64.212,69.196,70.732,74.190,78.107,75.204,77.059,78.318
HMG,HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON),0.000,2.041,4.167,4.167,4.167,4.167,6.383,4.167,4.167,6.383,8.696,8.696,11.111,11.111,16.279,16.279,16.279,16.279,19.048,21.951,21.951,21.951,21.951,25.000,25.000,25.000,25.000,28.205,28.205,28.205,31.579,31.579,31.579,35.135,35.135,35.135,35.135,35.135,35.135,35.135,35.135,38.889,38.889,38.889,42.857,42.857,47.059,47.059,51.515,51.515,56.250,56.250,56.250,None,61.290,66.667,66.667,66.667,66.667,66.667,72.414,72.414,72.414,72.414,72.414,78.571,78.571,85.185,85.185,92.308,92.308,92.308,92.308,92.308
PPN,NUROL PORTFÖY PARA PİYASASI (TL) FONU,1.151,2.048,2.707,4.116,4.474,5.198,6.034,6.916,7.814,8.727,9.583,10.417,11.486,12.500,13.533,14.545,15.616,16.707,17.778,18.910,20.022,21.154,22.263,23.438,24.590,25.715,26.910,28.078,29.268,30.481,31.716,32.922,34.204,35.787,36.844,38.146,39.474,40.886,42.206,43.551,44.859,46.319,47.743,49.196,50.541,51.980,53.517,55.014,56.614,58.171,59.761,61.382,62.958,None,66.202,67.789,69.492,71.055,72.558,74.088,75.552,77.041,78.556,80.097,81.665,83.059,84.577,86.017,87.479,88.964,90.473,91.897,93.341,94.807
SVB,STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON,0.532,1.485,-0.334,1.631,0.818,-3.505,0.088,5.703,4.054,2.809,2.069,-0.439,-0.299,0.318,-1.081,-0.229,1.431,3.034,2.568,3.296,7.669,8.847,10.846,14.911,16.516,18.985,17.799,19.060,20.630,13.645,12.853,17.214,13.987,17.774,16.277,15.755,14.888,10.587,9.119,8.680,11.478,13.395,15.074,14.632,16.612,17.872,17.676,15.261,19.085,20.220,23.304,26.241,31.570,None,38.308,37.303,33.365,34.376,33.679,35.596,34.791,36.477,39.224,45.212,51.294,56.297,62.755,65.703,68.709,66.725,66.824,60.817,57.950,55.525
RPT,ROTA PORTFÖY İKİNCİ SERBEST (TL) FON,0.929,1.841,2.804,3.715,4.642,5.513,6.399,7.261,8.176,9.068,9.975,10.897,11.834,12.829,13.800,14.787,15.836,16.859,17.946,19.053,20.134,21.235,22.307,23.398,24.611,25.952,27.109,28.288,29.489,30.769,32.017,33.290,34.586,36.091,37.258,39.204,40.489,41.865,43.133,44.492,45.877,47.218,48.948,50.346,51.771,53.223,54.624,56.051,57.587,59.070,60.496,61.948,63.426,None,66.466,67.936,69.338,70.667,72.213,73.886,75.490,77.022,78.475,79.953,81.455,82.983,84.536,86.116,87.724,89.241,90.784,92.351,93.945,95.440
