Fund Code,Fund Name,1 Week Return,2 Week Return,3 Week Return,4 Week Return,5 Week Return,6 Week Return,7 Week Return,8 Week Return,9 Week Return,10 Week Return,11 Week Return,12 Week Return,13 Week Return,14 Week Return,15 Week Return,16 Week Return,17 Week Return,18 Week Return,19 Week Return,20 Week Return,21 Week Return,22 Week Return,23 Week Return,24 Week Return,25 Week Return,26 Week Return
YUB,YAPI KREDİ PORTFÖY KARAKÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),3.2108,9.3751,10.0353,17.3073,21.8604,20.4678,13.8865,14.1157,13.2244,13.4369,13.2707,13.7009,16.182,17.4151,20.4759,12.3451,4.9713,7.2596,13.485,15.6517,11.5869,13.8709,17.9402,16.7852,12.0819,20.5565
YAK,YAPI KREDİ PORTFÖY KARMA FON,1.319,3.4,3.0663,6.5311,6.9468,7.8505,6.8655,8.7118,8.8166,10.3123,11.1996,13.4655,13.8414,15.3777,16.721,14.0568,12.5759,12.6439,16.1634,17.8469,13.5777,15.8804,18.5546,16.641,15.0259,17.9011
YLY,YAPI KREDİ PORTFÖY KİLYOS KAR PAYI ÖDEYEN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),3.5013,9.4106,9.5331,13.049,12.299,13.9357,8.9243,9.4639,8.5843,6.1496,7.5589,8.4604,10.2334,10.0798,11.377,3.4347,-1.6494,0.7212,5.2682,7.835,4.3952,7.6624,13.0529,16.0925,15.1672,20.7945
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,0.8582,1.6868,2.5041,3.3168,3.6,4.4433,4.9422,5.6238,6.1744,6.4789,7.1916,8.0612,8.7784,9.6999,10.4507,10.9501,11.9716,12.6783,13.4767,14.1217,14.327,14.9597,15.7654,15.9061,16.1564,17.5558
YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),3.9453,8.934,8.9836,11.8922,13.6635,14.9158,9.2441,10.5862,9.4173,10.4773,10.5896,9.7507,11.6042,11.4302,12.6495,5.4928,1.4741,3.8334,9.193,9.8026,6.9636,9.208,13.8132,14.9018,14.8161,18.945
YMD,YAPI KREDİ PORTFÖY MASLAK SERBEST (DÖVİZ- ABD DOLARI) FON,0.3043,0.8089,1.2183,2.234,3.271,4.4111,5.0495,5.8103,6.1038,6.4174,7.1068,8.0637,8.5703,9.9545,10.831,11.7479,12.7891,13.3952,14.624,15.5422,15.8912,16.2905,17.6098,15.4391,15.443,15.8691
YNK,YAPI KREDİ PORTFÖY NİŞANTAŞI KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,0.2497,0.8873,1.0227,2.289,1.4439,2.6267,3.3485,5.438,6.1362,6.9889,7.9648,9.5997,9.8441,12.0916,13.2199,13.6691,15.1883,12.949,14.0189,14.9426,15.1351,15.7171,17.3751,15.2515,15.1391,15.6919
YBS,YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0.4158,1.1028,1.8073,2.5398,3.1746,4.6315,5.367,6.1907,7.0318,7.7414,8.4718,9.2396,9.8585,10.6461,11.3333,12.0604,12.8923,13.536,14.5936,15.3207,15.9539,16.6749,17.186,17.6963,18.3693,19.0284
YVG,YAPI KREDİ PORTFÖY SARIYER SERBEST (DÖVİZ-AVRO) FON,-0.1187,0.0934,-0.3707,1.0366,0.6202,2.3563,3.0846,5.815,5.0595,5.5593,6.7925,9.513,10.4418,12.6572,13.1604,14.6876,15.379,15.2287,15.9265,16.4712,16.3157,15.7433,17.6717,14.6994,13.2587,14.2571
YTV,YAPI KREDİ PORTFÖY TARIM DEĞİŞKEN FON,0.5121,2.8727,1.4752,0.7134,-0.2437,1.7588,3.8359,7.9696,9.1932,7.9028,6.0814,8.8367,7.4275,11.0414,9.6664,6.2766,6.0269,4.3341,5.121,2.9314,3.3975,2.475,8.4815,8.7743,6.7578,7.6164
YJH,YAPI KREDİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FONU,1.7179,4.5205,-1.0227,-0.1361,-4.287,-1.7,-0.9816,5.7523,7.272,10.1778,8.7685,17.7747,11.6535,17.185,17.9825,11.4144,15.6954,6.3803,5.8103,3.1574,5.6019,2.0444,6.1878,5.3676,-0.4614,-1.1144
YSU,YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,1.1998,3.3825,3.2975,6.4145,6.722,8.3752,8.1406,9.3238,9.8647,11.469,12.3236,14.0595,14.2434,15.0444,15.7191,14.3406,13.2672,13.3693,16.6719,18.3623,15.8,17.3606,18.924,18.1326,17.1612,19.4031
YPV,YAPI KREDİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,0.0345,1.6219,1.5089,3.7535,3.8167,4.8238,1.9694,5.6956,4.5303,6.4868,8.4294,12.0005,12.5338,15.2311,16.8168,10.4246,10.1123,9.3171,12.3221,12.6045,10.6529,12.3529,16.1574,17.0314,14.2279,14.5044
YTD,YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,1.1371,1.7239,0.8449,2.8548,2.6532,4.1363,4.4643,8.2015,8.4772,10.8481,12.3579,16.7119,17.6216,23.9031,22.8701,18.9976,21.102,19.841,20.6101,18.1924,18.3307,17.8545,21.3151,19.4258,17.3799,16.9326
YAY,YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,-0.8624,1.8453,2.3734,6.842,3.8151,5.7597,7.4174,12.2049,12.0633,12.4422,14.5709,20.7085,24.1749,30.8556,27.2116,23.23,29.5004,27.8191,30.9024,25.6291,26.2127,24.5838,33.6748,33.9363,28.996,23.6946
YJY,YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON,0.2489,0.9033,1.2219,2.4799,3.2907,4.3967,4.9647,5.3894,5.5822,5.8752,6.5281,7.3,7.8303,8.9018,9.6898,10.669,11.5693,12.302,13.4899,14.378,14.8348,15.378,16.6592,14.304,14.4176,14.8229
ZDZ,ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON,3.1196,6.9347,9.8526,13.4765,15.7985,15.0678,3.2358,2.1865,-2.6463,-2.8208,-0.1702,-0.5449,0.6998,1.7515,3.0099,-9.3865,-16.1191,-11.609,-5.8322,-4.7698,-3.8405,-0.3257,1.9339,1.6438,5.6338,6.9749
ZP9,ZİRAAT PORTFÖY AKİK KATILIM SERBEST (DÖVİZ-AVRO) FON,-0.1239,-0.0402,-0.3945,0.9286,0.7482,2.447,3.3555,5.5631,4.6737,4.7911,5.9647,8.4785,9.4541,11.2415,11.6457,13.1488,13.8266,14.0902,14.9002,15.5409,15.6565,14.8168,16.6991,13.196,12.2509,13.0498
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,0.8539,-0.04,0.8722,1.5687,-0.3014,5.4401,7.1135,7.3898,7.2618,10.1728,11.4649,13.5118,12.4558,12.4274,12.4123,17.7308,23.9288,22.6127,20.6337,21.4339,21.3281,20.1014,20.2386,20.0286,20.5439,19.8859
ZBJ,ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU,0.4468,1.2269,2.0477,2.8173,3.4836,4.4465,5.2191,5.9835,6.7081,7.4862,8.2523,9.01,9.7605,10.5055,11.2358,11.9486,12.6884,13.4526,14.1922,14.9034,15.6271,16.3155,16.956,17.6031,18.2374,18.9033
ZJL,ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),4.3444,10.2294,13.8485,15.5398,17.7617,22.6201,14.4625,8.8763,6.0367,1.5446,5.3733,5.5834,7.2194,5.2702,8.8325,2.5995,-3.736,1.23,8.724,14.8477,10.6323,19.6801,24.6688,29.3599,32.0585,36.7468
ZLH,ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),5.2948,12.4601,13.5971,18.1782,19.6172,22.2749,16.939,14.4973,14.1574,11.6158,11.9917,10.4595,11.0388,11.8344,14.054,7.2904,1.42,5.9765,7.6067,9.3152,5.1653,9.8748,15.69,19.4867,19.7645,24.8758
ZJV,ZİRAAT PORTFÖY BIST 30 DIŞI YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),4.2065,11.0609,11.9416,14.0578,13.8682,16.4156,12.2494,8.7151,7.595,3.9267,4.1523,2.1676,2.4724,3.8823,5.9434,-0.1608,-6.6796,-0.3583,2.4532,4.1158,-0.3277,5.572,11.1486,14.7065,14.3856,20.3824
TZT,ZİRAAT PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,0.3357,0.9272,1.3831,1.2649,2.3061,5.9118,6.5135,7.0419,7.6248,8.1498,8.7124,9.3497,9.9465,8.3217,8.8926,9.4548,10.0128,10.5866,11.0548,11.5661,12.2806,12.9903,13.3591,13.8386,14.4406,14.9221
ZBD,ZİRAAT PORTFÖY DENGELİ DEĞİŞKEN FON,2.4269,5.8735,6.8872,9.6411,10.8705,12.0481,9.912,10.6286,10.4604,11.0804,11.9545,12.49,13.7268,14.7534,15.9367,11.7581,9.1924,11.578,14.4443,15.3023,13.252,15.8582,17.8701,19.2691,20.0046,22.5517
ZCN,ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU,0.7011,2.6374,2.5188,3.4328,2.8095,5.763,7.265,8.3493,5.3686,6.7045,8.1476,9.3326,7.3493,8.3363,7.5084,9.9427,12.8576,9.5595,9.5237,9.8035,10.9568,10.7739,13.1736,12.8224,12.0017,11.4041
ZSG,ZİRAAT PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,1.5545,4.9344,4.3491,8.6441,8.9043,9.9521,7.2554,10.0628,9.6015,10.1412,11.9645,14.4945,15.1999,16.8526,18.6593,11.6759,9.1244,10.2581,12.6716,12.5058,10.2559,12.5151,16.8528,21.1473,18.2692,23.1271
ZPC,ZİRAAT PORTFÖY FON SEPETİ FONU,1.9424,4.3738,4.9515,7.0043,6.7366,9.1012,6.5432,6.4861,5.4321,5.1496,6.7965,7.4157,8.2052,8.6807,10.3193,5.6375,3.2103,5.4043,8.0044,9.2364,8.0221,10.6384,12.749,13.5477,14.3673,16.2733
TZD,ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.6952,9.1652,9.4495,14.8835,16.2957,16.9146,12.6882,13.229,11.9942,11.7437,14.9769,15.9102,17.3975,15.8587,17.9891,6.1419,-0.5435,3.6866,8.6167,10.1698,4.7755,8.6628,14.0497,17.6033,15.1437,23.0765
VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,0.4289,1.1502,1.8327,2.5565,3.1811,3.9949,4.7445,5.477,6.2137,6.9547,7.6183,8.3539,9.037,9.7451,10.4543,11.1616,11.8455,12.5124,13.1083,13.7009,14.3205,14.9328,15.5239,16.1244,16.6938,17.3413
ZPF,ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),0.2764,0.9358,1.2674,2.3269,2.8108,3.9734,4.7241,6.2723,6.9643,7.6174,8.3058,10.0734,10.3706,12.1751,13.2186,13.9865,15.138,15.2051,16.2484,16.9192,17.1657,17.8704,19.2794,17.4958,17.3383,17.6928
ZPE,ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),4.7044,10.6393,10.7095,13.2886,14.2855,15.9769,11.418,10.5235,9.7286,8.3319,10.0643,10.4937,11.4224,12.9917,14.771,6.6651,1.6392,3.4284,7.0267,10.1167,7.085,12.4178,18.0045,20.193,18.1906,22.5533
ZP8,ZİRAAT PORTFÖY KEHRİBAR KATILIM SERBEST (TL) FON,0.4306,1.1858,1.8398,2.612,3.324,4.2883,5.0077,5.791,6.5825,7.3899,8.1305,8.8752,9.6378,10.3908,11.1223,11.8411,12.5842,13.3681,14.2008,14.9472,15.6909,16.4467,17.1956,17.8174,18.4546,19.1132
ZPG,ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,0.3836,1.0701,1.7285,2.4904,3.0441,3.7367,4.4506,5.2949,6.0014,6.6741,7.3544,8.1273,8.7748,9.506,10.161,10.8413,11.5605,12.1188,12.7077,13.3263,13.8149,14.3548,14.9256,15.3159,15.8281,16.3097
ZMY,ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,1.4618,6.7185,10.5988,13.7335,14.9089,16.152,15.0314,17.5804,16.5549,17.9168,19.9137,25.6996,30.9813,37.9308,39.2503,32.1556,31.2176,33.6582,39.3454,38.978,38.1706,38.6234,48.1418,50.0976,47.0438,44.3315
ZP6,ZİRAAT PORTFÖY SEDEF KATILIM SERBEST (DÖVİZ - AMERİKAN DOLARI) FON,0.2771,0.7785,1.2163,2.158,3.3182,4.5123,5.1352,5.5535,5.8018,6.0718,6.7218,7.4654,8.0831,9.0393,9.7401,10.738,11.5819,12.4239,13.6532,14.5026,15.1312,15.8096,17.1284,14.4228,14.7912,15.143
ZPA,ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON,0.3056,0.8909,1.3345,2.3795,3.2371,4.4698,5.1982,6.5518,7.1581,7.6554,8.3898,10.223,10.6869,12.9217,14.0725,14.5992,16.1101,16.0816,17.1036,18.2382,18.5266,19.4735,20.5694,18.6705,18.2125,18.473
ZSF,ZİRAAT PORTFÖY S&P/OIC COMCEC (İSEDAK) 50 SHARİAH ŞİRKETLERİ YABANCI HİSSE SENEDİ FONU,0.5835,2.4224,1.3277,3.1178,3.9861,6.1911,6.8298,7.6748,6.6126,7.9404,8.6772,12.0821,14.8678,20.9606,19.327,16.2992,13.5708,13.3588,15.5475,16.1968,16.7061,16.6588,18.6291,15.4071,13.4101,14.7331
ZDD,ZİRAAT PORTFÖY TEMKİNLİ DEĞİŞKEN FON,1.4408,3.3291,4.4003,5.8811,6.8684,7.8465,7.1152,7.977,8.3758,9.1021,9.8954,10.5092,11.4154,12.443,12.9556,11.6684,10.9788,12.2927,14.0108,14.6192,13.7377,15.3385,16.4452,17.6666,18.6628,19.8774
