Fund Code,Fund Name,1 Week Return,2 Week Return,3 Week Return,4 Week Return,5 Week Return,6 Week Return,7 Week Return,8 Week Return,9 Week Return,10 Week Return,11 Week Return,12 Week Return,13 Week Return,14 Week Return,15 Week Return,16 Week Return,17 Week Return,18 Week Return,19 Week Return,20 Week Return,21 Week Return,22 Week Return,23 Week Return,24 Week Return,25 Week Return,26 Week Return
TJI,TEB PORTFÖY İKİNCİ FON SEPETİ FONU,0.913,2.5359,2.8277,4.6946,5.8074,7.0137,6.639,7.5913,8.047,8.7757,9.9684,10.8669,11.3142,12.4807,12.3882,12.1866,12.8723,12.8777,14.4403,14.8942,14.4124,15.4169,17.8313,17.1807,16.3558,18.3107
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,-0.0193,0.6544,0.7175,1.9161,2.2175,3.3025,3.9325,5.7303,6.4001,7.1124,7.7606,9.5681,9.86,11.7545,12.6928,13.4834,14.4745,14.6672,15.8634,16.2162,16.4857,17.1075,18.8632,16.4023,16.197,16.8025
MTX,TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,-0.7994,3.424,4.9887,8.6657,6.9597,9.1833,9.7783,13.7636,15.9095,16.3259,17.2574,22.0451,26.1178,34.0366,30.0992,27.4974,31.2102,31.3424,33.9608,28.5591,27.9875,27.233,32.576,34.2218,30.2597,26.3138
TE3,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,0.6827,1.5766,2.223,3.2085,4.0657,5.1091,6.0618,6.5934,7.148,7.8612,8.4854,9.2197,9.7669,10.5932,10.6536,11.2677,12.202,12.5454,14.4927,15.2088,15.3971,16.2397,17.3363,16.1798,17.0792,18.0424
SHE,TEB PORTFÖY ÖNCE KADIN DEĞİŞKEN FON,1.1762,3.3393,4.122,8.1476,9.1166,8.8992,7.8196,9.7072,9.4205,9.4932,11.3239,11.5996,12.3043,11.9458,14.2007,12.6033,10.6775,11.2101,13.5384,14.0029,11.4357,15.1738,19.999,21.4416,20.3116,25.5751
TOT,TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0.4186,1.1057,1.8524,2.5931,3.2482,3.6254,4.4359,5.239,5.9532,6.6539,7.3535,8.0645,8.732,9.3802,10.0401,10.6461,11.3097,11.976,12.6114,13.3634,14.125,14.8163,15.5279,16.166,16.9707,17.5129
TPP,TEB PORTFÖY PUSULA SERBEST FON,0.0,3.4201,2.1136,3.6772,5.8517,13.1243,8.7424,7.4732,9.9268,10.0639,10.8106,7.1944,10.5246,9.4447,5.1176,5.302,5.1809,5.8497,11.3302,12.5027,8.6139,11.4788,17.5291,11.7388,9.3146,9.0104
TBE,TEB PORTFÖY SAĞLIK VE BİYOTEKNOLOJİ DEĞİŞKEN FON,-0.7334,0.7027,-0.0825,1.0898,3.2569,6.0085,5.9036,9.7183,11.5886,11.8714,12.7102,14.9997,12.8572,15.9887,14.373,10.957,10.3832,10.9738,12.8862,10.3006,9.6856,10.0492,12.6155,11.9874,11.2463,12.7288
TJF,TEB PORTFÖY SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,0.0545,1.7578,-0.0216,1.6298,-0.9165,1.5971,1.5784,6.3745,7.3039,7.6172,8.6078,14.3206,14.2462,18.9113,18.1397,13.9539,17.0539,13.8117,14.3387,10.8822,12.4484,10.0239,13.9611,12.1371,8.0513,7.1148
TGX,TEB PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,-0.2929,2.2456,-0.5724,-2.0015,-1.8803,-0.8698,-0.9924,1.8986,5.1963,7.3692,6.534,9.7654,7.9687,11.1057,7.3239,5.2659,7.1609,2.753,3.249,1.288,0.982,-0.0158,5.4706,3.6666,0.2126,-1.9008
