Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks,73 Weeks,74 Weeks
SUA,ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,0.000,1.822,1.822,2.288,1.822,3.472,5.674,7.194,9.024,10.099,11.194,12.312,13.165,14.031,14.910,16.104,15.803,17.942,19.200,20.485,22.131,22.466,23.823,25.562,26.989,28.448,29.942,30.702,31.858,33.036,34.234,35.455,36.280,36.697,36.697,36.280,37.963,39.252,40.125,41.009,42.357,43.269,44.660,46.078,47.039,48.505,49.498,51.014,52.041,53.082,54.671,56.842,57.394,59.075,60.215,61.372,61.957,63.139,64.338,63.736,64.945,66.791,66.791,68.679,69.962,70.611,71.923,71.923,73.256,74.609,75.294,76.680,79.518,80.242
IDO,İŞ PORTFÖY ONDOKUZUNCU SERBEST (DÖVİZ-AVRO) FON,-0.449,0.741,0.259,0.461,0.281,0.982,0.139,0.574,0.279,1.579,2.253,2.563,2.939,3.047,3.515,5.775,3.347,5.387,4.764,4.996,5.735,8.579,8.556,10.704,11.913,12.310,13.867,13.295,13.058,13.479,14.130,18.124,18.380,20.927,20.047,24.609,26.033,29.984,31.003,31.976,33.432,33.390,34.008,36.270,36.596,36.174,35.744,36.507,35.891,36.211,36.511,37.218,37.827,35.518,34.230,35.070,34.643,33.592,32.546,31.352,31.720,33.819,32.858,32.174,32.602,35.317,36.849,40.233,39.991,38.728,40.692,42.862,42.797,43.633
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,0.783,1.544,2.352,3.137,3.934,4.743,5.641,6.439,7.288,8.190,9.108,10.082,11.074,12.041,12.939,13.983,14.734,15.812,16.818,17.888,18.979,19.992,21.072,22.323,23.138,24.432,25.594,26.724,27.929,29.101,30.467,31.453,32.512,34.073,34.684,35.672,36.738,37.820,38.985,40.104,41.241,42.260,43.711,44.978,46.340,47.655,49.068,50.432,51.821,53.316,54.759,56.148,57.645,59.172,60.641,62.137,63.752,65.307,66.892,68.412,70.155,71.735,73.345,75.296,76.762,78.360,80.097,81.868,83.561,85.285,87.042,87.992,89.801,91.521
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.230,-1.434,-0.362,1.103,4.563,1.476,-0.362,-1.079,1.103,7.422,4.167,0.365,1.103,4.167,2.230,2.996,4.563,7.843,8.268,9.562,19.565,22.222,18.026,18.026,21.681,18.026,17.021,20.087,23.874,20.087,21.681,22.222,21.681,20.614,19.048,10.000,13.169,21.145,20.614,20.087,20.614,17.021,16.525,21.145,20.614,20.614,22.222,25.000,22.222,23.318,26.728,30.332,29.717,37.500,40.306,39.594,38.191,39.594,41.026,29.108,28.505,34.146,28.505,31.579,29.717,28.505,28.505,19.565,19.048,16.034,17.021,19.565,21.681,23.318
PKF,ATA PORTFÖY ALTIN KATILIM FONU,-2.588,3.403,2.550,-2.217,-1.913,0.960,8.118,11.649,14.934,17.536,21.721,26.997,29.646,29.564,28.791,31.306,30.016,31.940,32.622,32.837,34.448,33.009,33.616,34.713,37.237,36.460,42.827,35.246,38.722,35.828,37.651,47.236,47.131,51.870,52.095,61.815,63.949,65.470,61.942,65.203,70.066,77.116,78.581,81.988,84.858,85.108,85.276,88.684,82.962,87.993,83.535,83.781,93.673,86.032,78.659,83.864,82.636,87.220,88.165,88.165,95.055,100.489,99.903,101.276,100.980,107.591,115.554,112.429,119.007,110.683,121.970,125.137,126.630,126.630
BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.141,-2.743,0.071,2.903,4.572,2.679,1.213,0.283,2.828,7.424,2.383,0.925,3.052,5.271,3.883,4.112,7.587,10.093,14.079,14.725,22.136,25.709,20.068,21.300,21.926,17.872,18.463,20.476,25.154,23.843,23.843,24.714,24.934,29.853,31.296,21.717,26.607,32.030,28.792,29.853,29.853,26.720,23.627,24.934,23.627,24.934,28.094,29.498,28.326,28.909,33.522,36.215,39.704,47.095,47.401,51.820,53.132,52.473,53.297,43.232,40.119,46.943,39.704,43.232,37.804,36.084,34.408,28.558,31.175,31.296,33.648,38.341,36.873,36.873
GUB,GARANTİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0.729,1.469,2.220,2.982,3.755,4.484,5.280,6.089,6.851,7.624,8.469,9.266,10.137,10.958,11.857,12.704,13.564,14.506,15.463,16.436,17.426,18.360,19.383,20.498,21.406,22.405,23.421,24.453,25.503,26.571,27.741,28.762,29.799,30.853,31.924,32.921,34.026,35.056,36.197,37.260,38.340,39.438,40.552,41.685,42.836,44.006,45.195,46.737,48.086,49.344,50.623,52.044,53.370,54.844,56.220,57.749,59.177,60.631,62.112,63.621,65.158,66.581,67.736,69.649,70.999,72.679,74.234,75.978,77.594,79.406,81.086,82.971,84.542,86.320
TAR,AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,-1.925,0.404,-1.193,-2.263,-0.799,-0.799,-1.536,-1.390,-2.311,-1.682,-3.684,-6.008,-6.362,-3.963,-5.471,-4.241,-6.406,-4.056,-5.874,-6.185,-1.193,-0.050,-1.973,-2.263,-1.144,-0.700,-1.193,1.378,3.544,3.977,6.143,8.698,6.200,3.868,3.544,5.077,7.463,9.477,8.698,10.512,10.944,6.314,8.107,11.130,15.055,13.349,11.192,11.692,6.542,6.656,7.696,13.349,14.130,11.441,11.130,10.450,10.635,10.758,9.176,5.748,4.414,8.996,6.542,6.771,7.116,7.116,7.696,3.274,3.706,1.120,5.411,7.058,7.872,8.936
OJK,QNB PORTFÖY ALTIN FONU,-2.880,3.377,2.850,-1.859,-1.953,1.848,8.167,11.752,15.017,17.445,21.031,25.886,28.814,28.711,27.809,30.571,29.330,31.376,32.423,32.625,33.424,32.221,33.314,34.073,36.470,35.749,42.136,35.391,38.223,36.223,37.634,46.657,47.250,52.312,50.808,58.621,61.547,65.040,61.941,65.282,69.243,74.903,77.263,80.463,83.811,83.781,83.631,87.564,80.032,85.075,82.918,83.007,89.579,83.601,80.089,82.445,84.110,89.483,90.249,90.989,95.551,103.183,104.397,105.512,105.549,112.629,121.901,118.089,125.805,118.173,128.916,127.075,127.900,132.162
FKE,QNB PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON,-0.452,0.732,0.246,0.448,0.266,0.966,0.119,0.554,0.256,1.551,2.221,2.525,2.897,3.000,3.459,5.712,3.270,5.302,4.668,4.891,5.620,8.457,8.418,10.553,11.759,12.142,13.698,13.119,12.875,13.311,13.937,17.944,18.196,20.749,19.847,24.357,25.811,29.788,30.817,31.804,33.276,33.238,33.860,36.133,36.462,36.060,35.640,36.411,35.816,36.143,36.440,37.148,37.773,35.461,34.179,35.012,34.597,33.543,32.495,31.299,31.649,33.745,32.769,32.062,32.475,35.175,36.695,40.082,39.842,38.585,40.562,42.755,42.704,43.554
TPV,AURA PORTFÖY İKİNCİ DEĞİŞKEN FON,0.901,-1.340,-1.069,0.619,0.820,0.229,0.109,-0.484,-0.375,2.116,0.548,0.020,0.810,2.241,3.129,4.801,5.902,7.357,8.244,10.764,14.085,14.944,13.674,15.563,18.482,18.496,19.126,20.363,22.423,21.846,21.479,22.023,22.632,22.781,23.367,22.498,25.019,27.710,28.100,27.243,28.083,27.115,26.987,29.531,29.150,30.150,31.148,32.319,31.645,33.333,35.519,38.194,39.842,46.485,46.804,47.535,45.240,45.156,48.185,40.153,40.661,45.976,43.056,46.208,44.305,46.421,46.783,43.320,43.688,44.346,45.533,45.744,44.366,45.135
NCS,NUROL PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,0.365,0.770,1.208,1.294,1.704,2.118,2.490,2.922,3.387,3.565,3.966,4.356,4.745,5.236,5.677,5.967,6.379,6.990,7.693,8.604,8.647,9.352,10.193,10.759,10.954,11.702,12.281,12.631,13.290,13.822,14.450,15.174,15.309,15.230,15.414,19.905,20.582,20.753,21.286,22.109,22.967,23.491,24.077,24.897,25.422,25.714,26.046,26.914,27.755,28.432,28.978,29.586,30.314,30.942,31.103,31.222,31.700,31.721,32.043,32.277,32.931,33.422,33.581,33.596,34.212,35.499,36.208,37.920,38.506,38.491,39.500,41.170,39.909,41.235
UP1,ÜNLÜ PORTFÖY ALTIN FONU,-1.727,4.392,3.603,-0.926,-1.292,3.303,10.245,15.159,18.371,19.910,24.199,29.680,32.705,32.771,32.082,34.744,31.659,34.676,36.012,36.324,36.847,35.255,35.633,37.410,40.367,40.922,46.080,38.837,42.348,39.598,40.997,48.350,49.219,53.811,53.106,63.148,65.522,68.866,64.960,69.294,72.907,79.162,81.288,84.605,88.244,85.308,85.373,88.509,83.151,84.988,82.713,79.765,90.864,83.970,81.165,84.096,84.669,94.261,94.190,94.827,99.552,107.367,108.012,108.418,110.055,115.906,122.926,120.445,126.514,121.541,131.415,128.645,129.824,136.115
BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,-2.472,-4.489,-4.489,0.092,0.324,-0.230,0.977,4.277,4.983,9.045,12.786,10.601,13.971,12.494,14.693,14.633,15.426,16.604,17.679,18.385,21.297,25.579,26.089,30.566,31.515,32.560,31.675,40.544,47.820,49.243,55.222,53.574,50.485,42.951,41.923,47.418,46.622,40.635,35.965,41.092,41.460,43.329,37.690,41.923,43.140,45.540,44.474,47.119,45.638,43.709,47.921,50.590,48.022,47.720,52.495,50.694,49.243,49.141,51.325,46.622,51.114,57.818,58.279,52.817,49.038,53.140,61.940,50.069,50.694,41.923,36.736,42.482,43.045,42.857
TBT,TEB PORTFÖY BORÇLANMA ARAÇLARI FONU,1.394,-0.207,-0.395,1.022,2.105,1.374,-0.235,0.592,1.620,4.976,5.569,1.617,2.551,3.235,3.603,5.026,4.319,7.163,5.847,3.745,8.974,11.454,11.796,13.436,13.219,13.100,17.497,18.977,21.260,18.644,22.674,15.144,15.852,15.997,12.411,4.244,4.291,4.919,6.070,8.284,6.767,5.359,6.273,9.371,10.425,11.707,13.838,16.474,18.013,17.133,16.869,19.705,19.441,22.395,22.330,21.464,19.907,20.444,20.338,19.170,20.677,21.397,21.762,21.634,22.113,23.613,22.573,23.168,22.521,22.648,22.489,21.401,26.298,27.525
HDA,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),0.647,1.384,1.799,2.638,3.191,3.793,4.578,5.241,5.822,6.684,7.374,8.402,9.019,9.595,10.323,10.913,11.659,12.466,13.336,14.063,14.220,15.065,16.084,16.901,18.178,19.025,19.769,20.698,21.820,22.963,24.128,25.000,26.140,26.718,27.823,28.682,29.485,34.449,38.180,39.496,40.203,41.477,42.612,43.351,44.515,45.699,46.903,47.774,48.746,49.639,51.184,52.200,52.855,53.420,54.755,56.407,57.895,59.309,60.438,63.172,64.248,66.778,68.357,69.043,70.782,71.843,73.398,75.599,77.098,78.879,80.304,81.885,83.493,84.718
MJL,AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON,-0.452,0.733,0.253,0.453,0.265,0.959,0.108,0.536,0.234,1.525,2.192,2.502,2.874,2.978,3.440,5.699,3.267,5.302,4.671,4.896,5.627,8.467,8.436,10.575,11.789,12.169,13.720,13.138,12.902,13.336,13.965,17.969,18.229,20.784,19.905,24.407,25.842,29.789,30.816,31.798,33.265,33.228,33.843,36.110,36.428,36.022,35.598,36.372,35.772,36.096,36.379,37.087,37.707,35.394,34.117,34.953,34.539,33.489,32.456,31.276,31.644,33.755,32.808,32.139,32.565,35.290,36.836,40.233,40.004,38.759,40.735,42.927,42.877,43.729
MPS,AKTİF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.595,-2.694,-2.791,0.569,1.844,-2.119,-4.169,-5.412,-2.740,5.105,-0.374,-2.098,-2.627,0.701,-0.546,-0.266,1.687,5.117,7.690,9.161,18.237,20.318,15.751,18.810,21.744,17.956,17.526,18.526,22.941,20.247,20.689,21.198,19.156,20.318,17.949,8.921,11.349,18.161,17.571,16.988,16.447,13.802,12.894,14.840,11.795,13.039,15.113,16.632,13.339,14.404,17.602,22.197,21.865,24.768,27.466,27.590,26.510,28.016,27.572,19.551,16.300,21.430,17.369,18.366,16.124,15.149,13.060,8.683,8.657,5.824,7.741,9.924,10.552,9.225
TFF,TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU,-3.246,-3.676,-5.242,-0.871,-0.567,-1.967,-0.726,0.967,0.644,2.483,5.734,5.061,8.573,6.771,6.536,6.065,7.573,9.540,10.141,11.157,13.300,17.229,16.592,17.111,17.959,20.761,20.105,25.642,30.480,36.050,38.509,37.004,35.947,28.403,28.658,36.281,29.554,23.515,18.444,19.446,20.247,21.715,22.719,25.797,27.384,27.198,24.875,26.791,24.615,25.213,29.642,31.873,31.402,34.082,41.209,40.909,40.261,41.669,45.814,42.556,45.870,50.357,52.455,47.778,46.283,52.340,62.573,52.333,56.107,49.598,47.208,50.804,53.021,53.560
DBB,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU,1.111,1.111,2.247,3.409,3.409,4.598,4.598,5.814,5.814,8.333,8.333,8.333,8.333,9.639,10.976,10.976,12.346,13.750,13.750,13.750,15.190,16.667,18.182,19.737,19.737,21.333,22.973,24.658,26.389,26.389,28.169,26.389,26.389,26.389,22.973,19.737,21.333,21.333,22.973,24.658,24.658,22.973,24.658,28.169,28.169,30.000,31.884,33.824,35.821,35.821,35.821,37.879,40.000,42.187,42.187,42.187,42.187,42.187,44.444,44.444,46.774,46.774,46.774,49.180,49.180,49.180,49.180,51.667,51.667,54.237,54.237,54.237,56.897,59.649
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,-2.182,-3.584,-4.610,-0.124,-0.247,-0.124,2.023,6.184,6.324,10.397,16.618,16.450,20.089,16.618,19.379,19.027,22.458,24.537,27.287,27.287,28.503,32.730,33.388,35.630,37.479,41.331,41.331,51.407,61.078,63.360,72.068,69.895,66.049,54.008,53.131,62.374,60.119,50.000,43.850,49.168,53.131,53.131,51.124,56.093,56.395,59.486,54.302,58.858,57.617,59.172,66.049,65.031,64.358,62.702,70.613,70.613,68.828,68.476,70.975,68.476,77.363,83.827,85.945,81.757,78.936,85.517,97.311,84.668,91.232,81.757,76.201,85.092,87.239,88.551
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,2.494,-1.861,0.323,3.175,5.433,2.213,0.018,-1.879,-0.072,5.116,1.859,-2.444,-2.307,0.395,-1.237,0.179,0.903,3.156,3.519,5.076,14.670,18.211,12.477,14.085,16.974,13.551,12.955,16.778,19.296,14.388,15.451,15.451,13.875,12.772,10.346,-0.196,2.026,8.335,7.854,7.131,7.688,5.037,4.526,8.272,7.460,7.605,8.230,10.761,8.377,9.868,13.046,15.858,16.535,23.897,24.062,24.228,21.579,21.897,23.241,11.601,10.520,14.953,10.258,13.046,11.224,10.761,9.804,3.156,1.896,-0.992,0.090,1.637,3.943,3.962
TI3,İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.980,-4.630,-0.962,1.980,7.292,3.000,-1.905,-6.364,-5.505,-0.962,-3.738,-9.649,-9.649,-4.630,-6.364,-5.505,-4.630,-1.905,-0.962,0.000,10.753,17.045,13.187,13.187,14.444,10.753,11.957,15.730,15.730,10.753,10.753,8.421,5.102,3.000,0.000,-9.649,-7.207,-1.905,-1.905,-0.962,-0.962,-4.630,-5.505,-99.990,-99.990,-99.990,-99.990,-99.990,-99.990,-99.990,-99.990,-99.990,-99.989,-99.989,-99.989,-99.989,-99.989,-99.989,-99.989,-99.990,-99.990,-99.989,-99.990,-99.989,-99.989,-99.990,-99.990,-99.991,-99.991,-99.991,-99.991,-99.991,-99.991,-99.991
NRG,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU,0.699,1.482,2.278,3.086,3.881,4.688,5.534,6.368,7.187,8.075,8.949,9.837,10.769,11.777,12.713,13.664,14.536,15.615,16.681,17.733,18.805,19.931,20.973,22.177,23.150,24.323,25.481,26.622,27.785,28.929,30.093,31.238,32.403,33.419,34.233,35.233,36.248,37.414,38.507,39.712,40.796,41.703,43.308,44.699,46.065,47.354,48.718,50.108,51.469,52.911,54.381,55.821,57.229,58.723,60.246,61.735,63.253,64.734,66.308,67.846,69.412,71.007,72.705,74.655,76.054,77.702,79.459,81.171,82.837,84.615,86.345,88.108,89.991,91.736
IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,0.477,0.975,1.394,1.634,2.168,2.608,2.975,3.513,3.993,4.260,4.839,5.203,5.702,6.238,6.902,7.408,7.909,8.633,9.328,10.134,10.534,11.309,12.200,12.913,13.224,14.044,14.887,15.330,16.231,16.433,17.310,18.402,18.321,18.732,18.622,22.390,22.857,23.396,23.789,24.849,26.027,26.442,27.759,28.858,29.590,29.695,29.623,30.524,30.992,31.743,32.156,33.033,34.322,35.509,36.051,36.324,36.778,37.118,37.519,37.514,38.888,39.717,40.251,40.479,41.239,42.727,43.640,45.378,46.027,46.124,47.175,49.063,48.598,50.060
TBV,İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,0.649,1.639,2.310,2.990,3.679,4.730,5.442,6.164,6.897,7.639,8.772,9.541,10.320,11.111,12.319,13.139,13.971,14.815,15.672,16.541,17.871,18.774,19.691,20.623,21.569,23.016,24.000,25.000,26.016,27.049,28.099,29.167,30.252,31.356,32.479,33.621,34.783,35.965,37.168,37.778,39.013,40.271,41.553,42.202,43.519,44.860,46.226,46.919,48.325,49.758,51.220,52.709,53.465,55.000,56.566,57.360,58.974,60.622,61.458,63.158,64.021,65.775,67.568,69.399,70.330,72.222,73.184,75.141,76.136,78.161,79.191,81.287,82.353,84.524
IZB,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON,1.098,-0.759,-0.161,0.893,1.359,0.621,0.811,0.743,1.802,4.955,3.426,1.470,0.811,0.893,-3.282,-1.088,-2.447,-0.227,0.648,-4.484,-4.324,-5.763,-8.347,-6.800,-6.178,-7.321,-7.928,-6.648,-5.751,-4.471,-3.169,2.516,3.340,4.120,3.398,2.039,6.317,10.820,9.181,9.502,9.118,6.865,4.309,10.903,6.636,5.939,8.309,8.042,6.621,6.256,8.011,12.019,12.459,13.954,11.267,11.969,14.761,12.222,12.391,9.438,1.636,-0.187,1.553,3.743,5.894,9.006,14.991,11.002,13.416,15.026,15.543,17.104,20.862,26.975
KIF,TRIVE PORTFÖY EMTİA SERBEST FON,-0.872,-1.059,-3.648,-1.097,-6.138,-3.363,-0.834,0.577,4.810,7.835,10.105,11.943,14.794,13.894,12.184,11.609,9.231,11.848,13.548,13.894,14.392,10.664,13.449,16.741,18.648,22.196,23.175,22.425,24.346,22.655,25.180,28.628,23.875,20.230,20.841,28.249,30.229,30.359,26.268,27.561,30.359,34.447,34.933,35.703,40.290,42.896,43.209,44.236,38.727,40.365,40.365,38.580,43.053,37.270,35.562,33.691,36.269,38.068,35.492,37.342,44.157,47.907,48.495,47.075,49.173,52.835,56.213,55.193,59.354,51.419,52.035,57.246,58.293,54.734
NSD,NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,0.366,0.747,1.143,1.230,1.633,2.084,2.443,2.863,3.337,3.478,3.881,4.270,4.637,5.111,5.538,5.814,6.230,6.851,7.558,8.483,8.534,9.242,10.102,10.649,10.829,11.552,12.107,12.444,13.107,13.627,14.224,14.961,15.019,14.906,15.045,19.489,20.160,20.264,20.776,21.670,22.425,22.952,23.520,24.298,24.791,25.047,25.350,26.167,27.026,27.687,28.228,29.233,29.687,30.144,30.533,30.172,30.984,31.089,31.372,31.578,32.153,32.732,32.783,32.802,33.294,34.707,35.455,36.989,37.629,37.499,38.676,40.380,39.251,40.694
GO1,ONE PORTFÖY BİRİNCİ FON SEPETİ FONU,0.406,1.081,1.585,2.185,2.579,3.222,4.060,4.500,5.552,7.654,8.532,9.286,10.086,11.469,12.010,13.704,15.449,16.852,17.807,18.819,20.432,23.132,23.660,24.820,26.047,26.601,27.817,28.960,30.271,30.714,32.111,33.231,33.746,35.103,35.474,35.580,36.759,38.179,39.123,40.251,41.340,42.563,43.747,45.623,46.548,47.548,49.009,50.500,51.290,52.759,54.052,55.366,56.774,57.991,59.154,60.557,61.909,63.439,64.683,65.471,66.908,68.616,69.774,71.457,72.569,74.132,75.635,76.711,78.075,79.182,80.773,82.393,87.128,88.659
FJZ,FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON,0.481,0.980,1.387,2.042,2.724,2.818,3.042,3.069,3.429,3.962,4.529,4.730,5.161,5.783,6.935,7.630,8.413,9.325,10.058,11.123,11.600,12.519,13.371,14.245,14.469,15.201,15.962,16.882,18.012,18.690,19.697,21.169,19.708,19.731,19.593,23.634,24.242,24.448,25.050,26.086,27.010,27.924,29.136,30.350,30.559,30.699,31.147,31.914,32.403,33.194,33.740,34.338,34.981,35.643,35.724,35.764,36.251,36.331,36.483,36.729,37.620,38.496,38.746,38.633,39.373,41.259,42.513,44.134,44.616,45.185,46.472,48.777,47.457,48.758
IRV,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,0.555,1.362,1.837,2.684,3.073,3.723,4.481,5.168,5.762,6.529,6.907,7.905,8.486,9.316,10.047,10.652,11.423,12.322,13.046,13.828,14.669,15.645,16.264,16.889,17.904,18.884,19.643,20.733,21.734,22.558,23.562,24.610,25.735,26.437,27.595,28.228,29.173,30.038,30.979,31.933,32.869,33.851,34.881,36.405,37.093,38.244,39.379,40.243,41.154,42.673,44.456,46.561,47.276,48.931,49.917,51.295,52.228,53.258,54.347,52.655,51.802,52.784,52.441,54.215,54.303,55.229,56.978,54.347,54.919,56.076,58.120,59.466,60.835,62.470
HBU,HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.682,-0.667,1.165,3.168,6.002,1.758,-2.617,-4.753,-1.419,4.618,1.659,-4.316,-4.228,-0.096,-1.045,0.774,1.067,3.888,3.888,5.146,16.165,19.086,14.004,14.505,19.086,15.907,15.138,18.679,22.014,16.425,18.409,18.679,17.079,16.036,13.138,1.559,3.579,12.284,12.164,10.851,11.683,8.996,9.224,12.406,10.616,11.563,12.284,14.884,11.087,12.164,15.521,18.950,18.007,24.790,26.150,25.090,22.733,23.606,24.492,12.893,12.043,18.141,13.384,15.011,13.631,14.004,12.771,5.359,5.146,2.358,3.271,4.409,6.544,5.894
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,1.220,1.220,2.469,2.469,3.750,3.750,5.063,5.063,6.410,7.792,7.792,9.211,9.211,10.667,10.667,12.162,13.699,15.278,15.278,16.901,16.901,18.571,20.290,20.290,22.059,22.059,23.881,23.881,25.758,25.758,25.758,27.692,27.692,29.688,29.688,29.688,31.746,31.746,33.871,33.871,36.066,36.066,36.066,38.333,40.678,40.678,43.103,43.103,43.103,45.614,45.614,48.214,48.214,48.214,50.909,50.909,50.909,53.704,53.704,53.704,56.604,56.604,56.604,59.615,59.615,62.745,62.745,62.745,62.745,66.000,66.000,69.388,69.388,69.388
ICA,ICBC TURKEY PORTFÖY ALTIN FONU,-3.006,3.419,2.110,-3.006,-2.419,0.207,7.795,11.264,14.151,16.627,20.698,26.042,28.382,28.042,27.368,29.412,27.704,30.108,30.811,30.811,32.603,30.811,30.811,31.880,34.072,33.333,38.682,32.603,35.955,33.702,37.110,46.224,45.783,50.311,49.845,58.689,60.797,62.963,59.736,62.416,68.056,75.362,76.000,79.926,84.030,80.597,80.597,84.733,77.941,82.642,79.259,78.598,89.062,81.955,76.642,81.273,80.597,85.441,85.441,86.154,92.063,98.361,98.361,100.000,100.000,107.725,116.071,113.216,120.000,111.354,122.018,123.041,124.074,125.116
IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,0.763,1.513,2.299,3.097,3.882,4.679,5.568,6.418,7.228,8.078,8.997,9.875,10.797,11.704,12.627,13.625,14.363,15.488,16.602,17.641,18.664,19.841,20.869,22.091,22.871,24.134,25.274,26.398,27.580,28.745,30.132,31.264,32.166,33.755,34.180,35.123,36.211,37.317,38.441,39.584,40.699,41.689,43.128,44.498,45.793,47.163,48.559,49.982,51.433,52.911,54.307,55.727,57.175,58.649,60.152,61.621,63.054,64.578,66.130,67.645,69.188,70.759,72.431,74.351,75.800,77.498,79.153,80.916,82.635,84.387,86.092,87.911,89.767,91.572
KCV,KUVEYT TÜRK PORTFÖY ÇOKLU VARLIK KATILIM FONU,0.790,1.537,1.817,2.836,2.893,3.642,4.315,4.728,5.898,7.186,8.095,8.348,9.341,10.385,10.484,10.815,12.023,13.850,15.090,16.065,18.292,19.515,19.361,20.646,21.798,22.321,23.136,23.671,25.517,25.645,26.939,28.259,29.020,30.063,31.031,31.403,32.343,34.168,34.363,35.445,36.394,37.102,38.074,39.690,40.380,41.237,41.399,43.095,42.379,43.372,45.173,47.078,48.138,49.636,50.427,51.474,51.910,53.231,54.061,52.410,53.295,57.270,57.070,56.870,57.070,58.687,61.036,58.483,59.853,57.673,60.338,63.239,64.181,65.577
TPF,TACİRLER PORTFÖY BORÇLANMA ARAÇLARI FONU,0.783,1.234,1.974,2.889,3.718,4.495,5.297,6.233,7.062,8.169,9.170,9.685,10.686,11.602,12.487,13.509,14.253,15.642,16.252,16.837,18.591,19.728,20.643,21.979,22.785,23.820,25.097,26.134,27.266,28.261,29.571,30.480,31.526,32.862,32.947,32.862,33.947,34.984,36.259,37.197,37.966,38.743,39.880,41.225,42.451,43.822,45.018,46.286,47.497,48.676,49.767,51.530,52.970,54.609,56.022,57.017,58.085,59.137,59.714,60.387,61.970,62.821,63.841,64.744,65.788,67.079,69.825,71.110,71.637,72.095,72.592,72.878,76.189,77.497
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,0.456,0.950,1.402,1.666,2.190,2.601,3.081,3.797,4.288,4.658,5.304,5.694,6.246,6.832,7.653,8.163,8.731,9.606,10.330,11.232,11.642,12.346,13.170,13.921,14.313,15.134,15.900,16.574,17.576,18.132,18.886,19.922,19.744,19.851,19.744,23.783,24.533,24.848,25.566,26.464,27.275,27.887,28.736,29.701,30.112,30.259,30.582,31.425,32.005,32.758,33.431,34.185,34.804,35.574,35.749,35.673,35.733,35.855,36.100,36.406,37.451,38.607,39.013,39.149,39.953,42.162,43.510,44.926,45.781,45.641,46.664,48.799,48.044,49.414
