Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks,73 Weeks,74 Weeks
IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,0.196,3.088,4.310,3.649,4.993,4.403,6.055,10.840,10.526,10.900,12.009,11.993,12.147,15.114,17.326,14.823,12.626,16.358,15.423,16.408,17.800,19.573,17.478,19.381,21.060,22.272,24.771,22.327,20.206,22.749,23.977,25.000,20.135,20.649,18.844,19.556,17.952,19.924,21.726,21.835,21.024,22.492,25.076,28.576,28.859,30.317,31.069,32.341,29.512,28.414,29.451,31.765,29.944,29.862,30.525,28.536,27.673,27.972,28.718,26.979,26.137,27.276,26.391,26.215,26.547,28.394,32.320,31.829,32.341,32.943,34.672,38.012,38.597,39.997
OKP,OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,0.700,1.430,2.150,2.902,3.664,4.439,5.293,6.091,6.903,7.750,8.587,9.412,10.275,11.202,12.042,12.973,13.735,14.802,15.862,16.914,18.013,19.075,19.980,21.169,21.954,23.275,24.529,25.648,26.886,27.948,29.608,30.507,31.277,32.809,32.701,33.533,34.524,35.568,36.589,37.665,38.523,39.311,41.200,42.558,43.857,45.136,46.439,47.766,49.071,50.492,51.799,53.417,54.824,56.208,57.566,58.999,60.406,61.732,63.025,64.449,65.955,67.373,68.875,70.701,72.021,73.546,75.161,76.615,78.223,79.794,81.461,83.227,84.889,86.509
GZL,GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEĞİŞKEN FON,-1.109,0.590,0.204,-0.859,1.082,0.719,0.615,-0.280,-0.532,0.384,0.102,-1.925,-1.851,-0.025,0.077,0.487,-1.059,2.055,0.128,-0.203,3.727,4.445,4.556,4.445,5.484,6.601,6.111,8.879,10.566,11.382,13.838,16.716,12.791,10.256,9.762,12.178,13.805,15.242,14.236,15.310,15.310,12.307,13.937,16.060,19.126,17.767,18.478,18.981,13.937,14.369,16.095,19.963,21.939,19.780,18.228,18.514,18.729,17.838,17.450,14.838,13.312,17.696,13.673,14.436,15.141,14.037,15.242,11.004,11.414,9.365,13.673,15.006,14.804,15.412
GLC,AKTİF PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,0.026,0.263,0.394,1.059,1.732,1.922,2.277,2.911,3.301,4.118,4.977,5.440,6.262,6.797,7.762,8.528,9.304,10.475,11.377,12.261,13.902,15.104,15.627,16.758,17.513,18.535,19.387,19.912,20.861,21.709,22.726,23.961,23.600,23.760,23.800,24.486,25.016,27.055,25.633,27.140,28.466,28.595,28.121,31.338,31.203,32.431,33.078,34.106,33.171,34.012,36.163,38.786,40.059,41.933,41.933,43.157,42.356,42.836,43.265,41.250,40.990,43.103,42.729,44.075,43.750,45.614,48.908,46.621,47.527,46.621,47.641,50.079,51.749,52.415
KNJ,KUVEYT TÜRK PORTFÖY ENERJİ KATILIM FONU,1.859,2.086,3.163,5.223,8.644,6.284,5.873,5.061,7.704,10.573,10.662,8.730,11.201,13.036,12.295,12.020,13.130,15.514,16.299,18.410,23.312,22.212,22.760,26.384,29.367,29.612,27.205,32.367,35.509,33.920,33.139,37.137,29.123,26.151,25.229,30.476,34.314,32.495,28.759,30.476,29.490,29.735,27.679,29.002,33.398,35.509,35.108,41.092,34.051,31.226,30.352,28.881,31.858,32.239,35.913,36.590,34.975,30.725,31.731,34.975,31.604,38.664,33.659,29.735,30.601,30.228,33.528,29.490,29.735,26.969,29.735,29.981,29.245,30.352
NVZ,NEO PORTFÖY ORSA SERBEST (DÖVİZ) FON,-0.302,0.793,0.447,0.638,0.513,1.185,0.447,0.942,0.694,1.975,2.722,3.056,3.522,3.677,4.208,6.454,4.169,6.226,5.713,5.968,6.791,9.496,9.540,11.640,12.835,13.272,14.821,14.354,14.213,14.700,15.373,19.425,19.707,22.313,21.501,24.738,26.158,29.929,30.984,31.996,33.446,33.504,34.178,36.417,36.918,36.664,36.376,37.220,36.755,37.159,37.538,38.339,39.098,37.033,35.950,36.838,36.474,35.430,34.394,33.139,33.646,35.815,34.866,34.200,34.666,37.465,39.058,42.543,42.329,41.031,43.061,45.304,45.300,46.805
MPP,MEKSA PORTFÖY PRİME SERBEST FON,-1.849,-2.157,-4.634,-4.595,-6.015,-7.550,-6.062,-4.380,-5.238,-4.973,-0.532,1.186,2.851,5.845,7.949,8.280,6.424,10.092,9.389,9.582,13.772,16.234,15.068,13.275,11.945,12.647,13.309,14.008,14.764,15.395,16.126,16.772,17.484,18.205,18.927,19.551,20.205,20.905,21.613,22.297,22.852,23.022,23.160,23.526,23.878,24.331,24.813,25.382,25.949,26.520,27.122,27.801,28.442,28.876,29.197,30.223,31.395,32.541,33.564,34.710,35.305,36.382,51.976,51.766,51.361,49.019,47.502,55.298,53.449,48.416,46.772,47.049,49.388,43.768
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,0.402,0.788,1.262,1.461,1.931,2.602,3.060,3.562,4.094,4.338,4.885,5.339,5.771,6.304,6.771,7.120,7.646,8.315,8.999,9.909,9.934,10.611,11.433,12.033,12.254,13.013,13.625,14.050,14.755,15.339,15.988,16.692,16.917,16.991,17.245,21.013,21.700,22.000,22.571,23.405,24.262,24.874,25.443,26.273,26.828,27.194,28.221,29.164,29.832,30.514,31.078,31.756,32.259,32.595,32.937,33.292,33.638,34.029,34.468,35.196,35.966,35.962,36.161,36.575,37.802,38.666,40.320,41.018,41.035,41.575,42.999,42.474,42.805,44.242
RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,0.711,1.453,2.227,2.991,3.746,4.511,5.310,6.099,6.876,7.712,8.538,9.327,10.153,10.992,11.893,12.759,13.637,14.556,15.463,16.412,17.349,18.301,19.211,20.340,21.193,22.178,23.150,24.074,25.076,25.997,26.933,27.882,28.846,29.825,30.714,31.582,32.531,33.495,34.472,35.464,36.471,37.569,38.647,39.741,40.852,41.941,43.088,44.212,45.396,46.556,47.735,48.934,50.106,51.343,52.554,53.784,55.083,56.305,57.597,58.910,60.194,61.498,62.771,64.281,65.432,66.824,68.182,69.504,70.848,72.272,73.721,75.132,76.567,78.025
DNM,QNB PORTFÖY DİNAMİK DAĞILIMLI SERBEST (DÖVİZ) FON,-0.274,1.013,1.232,0.848,0.844,2.268,2.013,3.504,4.215,4.472,5.642,5.331,5.441,5.652,5.451,5.775,2.641,3.794,4.704,6.347,6.461,5.760,8.092,10.267,11.316,11.469,12.258,13.357,14.160,14.682,15.166,16.062,13.801,14.410,14.469,19.170,19.854,20.897,20.338,21.712,21.815,22.964,23.669,23.679,25.761,26.841,28.043,28.257,29.215,31.540,31.747,32.237,32.445,32.972,33.231,33.467,32.304,32.025,30.743,31.493,30.578,28.871,27.933,26.014,26.541,29.388,31.408,32.205,32.119,31.661,32.869,36.786,39.127,36.693
