Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,1.277,3.054,1.374,2.290,-1.978,-1.245,0.190,1.309,-2.997,2.356,2.224,8.186,7.307,8.966,8.779,13.448,19.248,11.887,10.638,14.019,12.045,5.557,5.839,11.612,11.103,8.222
AK3,AK ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),5.453,6.972,9.198,15.632,18.331,14.206,14.940,14.462,16.238,18.104,21.037,19.654,23.607,23.454,20.781,13.396,10.136,15.089,18.583,17.445,15.410,22.671,27.240,23.830,29.501,36.698
FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),6.693,10.322,13.305,15.839,19.169,15.373,14.347,10.159,6.846,5.397,6.541,5.936,7.617,5.846,3.181,-2.713,-5.737,-3.067,0.539,-0.507,-1.997,6.177,14.452,12.996,16.855,15.337
AGC,AK ASSET MANAGEMENT VARIABLE FUND,0.566,1.031,1.523,2.323,3.336,4.506,4.986,5.796,6.217,6.713,7.189,8.058,8.817,9.812,10.520,11.418,12.252,13.018,14.582,14.802,15.353,15.854,15.077,14.282,14.391,14.719
ARM,AK ASSET MANAGEMENT SECOND FUND OF FUNDS,1.547,2.239,2.926,5.784,6.972,6.476,7.148,8.502,9.231,10.498,12.197,12.829,14.516,15.738,15.961,14.870,16.446,17.056,17.905,17.656,17.461,18.190,18.513,18.477,18.244,20.172
AIS,AK ASSET MANAGEMENT LEASE CERTIFICATES FUND,2.564,2.564,2.564,5.263,5.263,5.263,8.108,8.108,8.108,8.108,11.111,11.111,11.111,11.111,14.286,14.286,14.286,14.286,14.286,14.286,17.647,17.647,17.647,17.647,17.647,17.647
MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,0.765,5.188,6.177,9.561,9.258,9.764,10.274,12.738,12.257,13.222,15.146,17.194,24.254,29.476,26.103,23.735,29.053,32.071,33.184,29.194,28.983,29.830,31.122,32.662,30.258,28.773
ONK,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON,-0.547,-0.024,-0.330,0.678,0.353,3.050,3.982,5.664,4.390,4.788,5.987,8.212,9.774,11.437,12.027,12.303,14.319,14.888,15.174,14.911,15.583,14.393,12.928,12.783,11.752,12.875
APT,AK ASSET MANAGEMENT MEDIUM-TERM BONDS FUND,0.000,1.333,1.333,2.703,1.333,1.333,2.703,2.703,4.110,4.110,5.556,4.110,4.110,2.703,2.703,2.703,4.110,4.110,4.110,4.110,2.703,2.703,2.703,1.333,1.333,1.333
AYR,AK ASSET MANAGEMENT PRIVATE SECTOR BONDS FUND,2.083,2.083,2.083,4.255,4.255,4.255,6.522,6.522,6.522,8.889,8.889,8.889,11.364,11.364,11.364,13.953,13.953,13.953,13.953,16.667,16.667,16.667,16.667,19.512,19.512,19.512
