Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks
AAL,ATA ASSET MANAGEMENT MONEY MARKET (TL) FUND,0.764,1.540,2.328,3.128,3.940,4.766,5.511,6.362,7.130,7.909,8.700,9.401,10.111,10.831,11.560,12.299,13.048,13.806,14.465,15.131,15.805,16.373,17.061,17.641,18.109,18.700
RTG,ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,-0.922,3.108,2.967,7.788,4.251,5.915,7.021,12.127,11.960,13.139,15.811,20.771,25.543,30.707,26.104,22.742,25.125,26.884,27.674,24.092,24.092,22.343,26.174,27.674,23.820,22.210
YLC,ATA PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,1.477,2.255,0.221,-1.048,-1.048,1.888,1.296,4.134,4.711,3.374,3.516,4.326,6.582,8.990,7.237,6.432,5.984,5.295,5.540,4.230,5.393,5.688,8.055,6.582,6.183,6.532
DGH,ATA PORTFÖY ÜÇÜNCÜ SERBEST (TL) FONU,0.786,1.584,2.366,3.190,3.997,4.786,5.587,6.368,7.130,7.903,8.686,9.482,10.323,11.142,12.009,12.854,13.675,14.509,15.318,16.138,16.895,17.699,18.398,19.065,19.700,20.342
TAL,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AHI,ATLAS ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),5.975,7.869,9.169,16.166,20.839,15.840,14.274,10.540,12.025,14.487,18.549,18.497,21.565,19.955,15.678,9.276,6.330,12.012,16.393,16.650,15.678,22.726,30.680,28.682,35.650,36.360
AHU,ATLAS ASSET MANAGEMENT FIRST PRIVATE SECTOR BONDS FUND,0.863,1.687,2.471,3.405,4.356,5.038,5.845,6.606,7.378,8.191,9.078,9.855,10.706,11.506,12.318,13.208,13.910,14.723,15.514,16.350,17.163,18.059,18.750,19.671,20.418,21.251
PFS,ATLAS PORTFÖY FON SEPETİ FONU,1.971,2.708,3.361,6.058,8.278,7.867,7.358,6.455,6.554,7.156,9.423,9.846,11.678,12.008,10.485,9.423,10.165,11.133,13.121,13.009,13.121,14.028,14.257,13.686,14.372,None
DFI,ATLAS PORTFÖY İKİNCİ SERBEST (TL) FON,-6.498,4.858,6.148,4.016,0.778,10.213,17.195,3.600,-10.690,-26.420,-17.778,-15.359,-8.156,-3.358,4.858,5.714,3.187,1.569,5.714,3.187,1.969,-2.996,-6.159,3.187,8.368,5.285
PPT,ATLAS PORTFÖY PARA PİYASASI (TL) FONU,0.786,1.685,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,0.778,1.205,1.714,2.533,3.898,4.835,5.517,6.175,6.713,7.366,8.373,9.348,10.800,12.553,13.166,13.257,14.829,15.005,16.022,15.917,16.476,16.936,15.296,15.667,16.346,16.692
BDC,AURA PORTFÖY BODRUM SERBEST FON,1.192,3.308,4.383,8.064,13.707,10.999,11.598,10.814,8.347,8.382,12.051,11.862,12.892,12.280,11.373,11.373,8.099,9.277,13.863,12.931,14.296,16.590,17.877,18.046,21.068,22.774
IYB,AURA ASSET MANAGEMENT VARIABLE FUND,-0.166,1.992,4.335,6.693,7.696,4.972,5.155,4.652,4.561,6.504,8.180,7.937,10.514,10.211,9.909,7.937,8.472,10.059,None,14.130,14.456,15.499,17.875,22.245,24.072,31.100
TLH,AURA ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),2.484,6.951,10.642,17.508,20.141,12.852,10.984,6.971,3.359,3.162,6.890,4.165,7.573,5.841,4.865,-2.264,-6.732,-2.179,None,4.702,4.261,9.740,14.760,17.140,23.500,26.955
TPV,AURA ASSET MANAGEMENT SECOND VARIABLE FUND,0.944,2.472,3.745,5.560,6.725,6.688,7.270,7.232,7.744,8.396,10.219,10.000,11.448,12.208,12.022,11.144,10.159,12.498,None,16.743,16.542,19.280,22.912,24.596,28.241,29.329
TLE,AURA ASSET MANAGEMENT FOREIGN DEBT INSTRUMENTS FUND,1.187,1.827,2.969,5.031,5.363,4.900,5.348,7.088,7.289,8.525,10.407,11.187,12.985,16.430,17.345,15.977,18.081,18.013,None,19.251,20.454,21.672,20.596,23.189,22.139,25.654
GLS,AZİMUT ASSET LEASE CERTIFICATES (SUKUK) PARTICIPATION FUND,0.000,1.613,1.613,3.279,3.279,5.000,5.000,5.000,6.780,6.780,6.780,8.621,8.621,10.526,10.526,10.526,12.500,12.500,None,14.545,14.545,14.545,16.667,16.667,16.667,16.667
PPF,AZİMUT PORTFÖY AKÇE SERBEST FON,2.474,4.285,6.219,9.444,10.437,12.674,15.207,13.329,14.529,15.344,16.587,17.007,18.937,19.228,19.815,23.855,24.092,24.488,24.808,25.129,25.370,25.694,26.019,26.347,26.675,27.006
GMA,AZİMUT ASSET MANAGEMENT MULTI-ASSET VARIABLE FUND,2.938,4.251,5.940,9.732,10.225,9.854,10.973,10.847,11.224,11.731,14.070,14.469,16.370,17.204,15.276,12.371,11.604,13.805,None,17.626,16.786,20.516,23.864,23.241,27.237,29.934
GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,0.385,2.288,1.756,1.557,1.426,4.333,5.458,7.045,4.473,6.174,6.972,9.441,6.826,6.899,6.899,10.914,13.984,7.931,None,9.748,11.388,13.488,14.401,14.317,11.866,13.984
KSK,AZİMUT PORTFÖY İKİNCİ KİRA SERTİFİKALARI KATILIM FONU,0.670,1.350,3.445,4.473,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
KTI,AZİMUT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),2.347,4.370,5.136,8.903,10.463,7.273,6.589,3.189,2.977,2.243,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
KVS,AZİMUT PORTFÖY KISA VADELİ SERBEST (TL) FON,0.787,1.586,2.316,3.140,3.893,4.657,5.432,6.219,7.018,7.738,8.559,9.300,10.052,10.813,11.683,12.368,13.163,13.968,14.682,15.405,16.138,16.880,17.523,18.283,18.942,19.720
KMF,AZİMUT PORTFÖY KIYMETLİ MADENLER KATILIM FONU,2.500,1.331,2.205,2.697,3.797,4.102,7.568,7.460,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PPZ,AZİMUT PORTFÖY PARA PİYASASI (TL) FONU,0.836,1.639,2.454,3.283,4.125,4.930,5.799,6.631,7.422,8.225,8.986,9.757,10.540,11.333,12.138,12.955,13.724,14.565,None,16.096,16.783,17.542,18.246,18.894,19.614,20.344
ZMT,AZİMUT PORTFÖY 22.0 SERBEST (DÖVİZ-AVRO) FON,-0.589,-0.036,-0.359,0.655,0.346,3.132,3.887,5.613,4.376,4.670,6.118,8.159,9.725,11.272,11.810,12.575,14.736,15.180,None,None,None,None,None,None,None,None
GTF,AZİMUT ASSET MANAGEMENT FIRST BONDS FUND,0.507,1.270,2.010,2.899,3.716,4.421,5.154,5.825,6.578,7.229,7.926,8.671,9.115,9.818,10.271,11.149,11.939,12.865,None,13.849,14.315,15.411,14.145,14.507,15.497,16.263
GL1,AZİMUT ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),5.736,6.651,7.811,14.969,16.935,13.172,14.045,13.709,15.842,17.330,19.994,19.553,22.020,23.153,19.747,13.513,10.363,14.676,None,17.763,16.282,24.956,31.524,30.373,37.394,46.005
GSP,AZİMUT ASSET MANAGEMENT DIVIDEND-PAYING COMPANIES EQUITY FUND (EQUITY-INTENSIVE FUND),4.724,6.400,7.692,15.152,15.152,11.765,12.712,12.712,14.655,15.152,17.699,16.667,20.909,22.018,18.222,12.236,9.465,13.675,None,17.699,16.157,23.148,29.756,28.502,35.025,42.246
GBL,AZIMUT ASSET MANAGEMENT SHORT-TERM BONDS AND BILLS FUND,0.685,1.379,2.083,3.158,3.887,4.626,5.376,6.137,6.909,7.692,8.487,9.294,10.112,10.943,11.787,12.644,13.514,13.953,None,15.748,16.667,17.131,18.072,18.548,19.512,20.000
GBC,AZİMUT ASSET MANAGEMENT FOREIGN ETF FUND BASKET FUND,0.000,2.206,2.963,4.511,2.206,5.303,6.107,7.752,7.752,9.449,12.097,14.876,13.934,16.807,16.807,20.870,24.107,21.930,None,21.930,21.930,20.870,20.870,21.930,19.828,18.803
PAF,A1 PORTFÖY ALTIN FONU,-0.172,-0.172,1.311,1.311,2.839,7.714,8.419,8.318,10.171,13.627,14.075,17.189,16.016,None,None,None,None,None,None,None,None,None,None,None,None,None
BST,A1 PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),0.735,1.318,2.609,8.397,23.101,19.986,12.483,13.287,12.011,10.788,14.904,2.630,17.105,23.521,24.644,14.411,6.397,18.169,19.140,16.648,26.446,27.398,30.445,44.777,47.944,38.229
BBF,A1 PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,0.794,1.600,2.328,3.252,3.909,4.766,5.735,6.623,7.627,8.650,9.693,10.649,10.971,13.393,None,None,None,None,None,None,None,None,None,None,None,None
BHF,A1 PORTFÖY BİRİNCİ DEĞİŞKEN FON,4.159,6.560,7.610,11.399,12.970,12.336,13.396,14.476,14.150,19.721,19.960,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
BIH,A1 PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.337,10.459,13.748,18.739,20.950,20.950,17.663,16.607,14.651,13.947,18.306,19.945,26.979,26.732,None,None,None,None,None,None,None,None,None,None,None,None
AC6,A1 PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,0.399,0.998,0.669,1.357,2.667,4.722,5.513,7.933,11.102,11.373,11.988,13.677,14.493,16.171,16.315,17.467,18.546,18.023,19.641,20.204,20.466,21.225,19.471,20.003,18.956,20.016
AC5,A1 PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,0.881,1.658,2.446,3.247,4.187,7.852,9.293,9.994,10.989,11.784,12.443,13.483,14.162,15.003,16.249,17.201,18.577,19.819,20.576,21.601,22.381,22.994,24.511,25.880,26.997,27.279
AC1,A1 PORTFÖY KISA VADELİ KATILIM SERBEST FONU,0.687,1.383,2.089,2.805,3.530,4.267,4.919,5.676,6.346,7.026,7.713,8.511,9.218,9.934,10.660,11.396,12.034,12.788,13.443,13.994,14.551,15.113,15.567,16.024,16.369,16.716
AC4,A1 PORTFÖY PARA PİYASASI (TL) FON,0.781,1.654,2.460,3.280,4.113,4.959,5.820,6.694,7.494,8.305,9.129,9.966,10.720,11.582,12.359,13.246,14.046,14.858,15.681,16.516,17.257,18.007,18.658,19.426,20.093,20.880
BHI,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),4.743,6.212,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,-0.662,5.692,5.507,8.363,7.139,7.844,8.625,12.422,11.104,14.060,13.771,18.021,22.434,27.912,23.356,19.907,23.525,25.243,27.100,23.780,23.695,23.441,26.209,27.730,24.550,27.010
BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,-1.459,5.647,7.326,11.253,6.854,7.515,8.475,12.593,11.868,12.488,15.810,20.635,21.357,None,None,None,None,None,None,None,None,None,None,None,None,None
DBA,DENİZ ASSET MANAGEMENT GOLD FUND,2.632,1.299,1.299,1.739,1.739,3.084,5.882,6.364,6.849,8.837,10.377,11.962,10.900,10.900,13.043,17.000,22.513,20.619,19.388,20.619,20.000,19.388,17.000,18.782,18.782,18.782
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,1.094,2.109,2.846,3.542,3.490,4.750,7.342,10.860,12.346,12.958,13.889,15.938,16.771,18.793,19.681,19.729,21.845,22.750,24.205,24.843,25.457,26.584,25.396,26.093,26.471,27.227
DTL,DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.590,9.051,13.435,17.563,21.670,16.946,14.074,7.215,4.159,2.909,6.244,5.590,8.891,7.061,4.795,-2.451,-6.775,-3.129,4.013,6.549,4.062,8.204,17.254,19.071,28.918,31.195
DZE,DENİZ ASSET MANAGEMENT BIST 100 INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),5.526,7.246,8.824,13.846,16.306,10.654,10.448,8.227,8.624,9.630,11.488,10.654,13.410,13.846,12.121,5.338,2.245,5.714,8.425,6.667,4.225,9.833,15.625,11.278,15.625,19.115
DBP,DENİZ ASSET MANAGEMENT FIRST VARIABLE FUND,3.226,4.186,5.164,8.738,11.443,9.804,10.345,10.891,11.443,12.563,16.062,16.062,17.895,18.519,17.277,12.563,10.891,13.706,16.667,16.667,16.062,20.430,25.843,24.444,28.736,33.333
DSP,DENİZ ASSET MANAGEMENT FIRST FUND OF FUNDS,1.894,3.045,4.119,5.693,7.077,7.241,7.977,7.977,8.237,9.006,10.635,11.319,12.796,13.569,13.303,11.556,11.556,13.263,14.791,14.645,14.478,16.383,18.531,18.800,20.482,21.295
DPT,DENİZ ASSET MANAGEMENT BIST DIVIDEND 25 INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),5.462,7.982,10.661,16.187,16.932,14.378,16.731,14.494,15.230,16.161,16.945,15.989,20.819,20.519,18.286,12.180,10.817,16.174,16.319,12.069,11.034,16.625,21.191,17.917,21.494,25.233
DBB,DENİZ ASSET MANAGEMENT BONDS FUND,0.000,2.041,2.041,2.041,4.167,4.167,4.167,6.383,6.383,6.383,8.696,8.696,8.696,11.111,11.111,11.111,11.111,13.636,13.636,13.636,13.636,16.279,13.636,13.636,13.636,13.636
DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,1.164,2.356,0.385,0.871,-2.706,-0.335,0.240,3.218,2.659,4.879,5.250,7.752,9.277,11.916,7.863,1.214,3.218,4.616,5.623,1.164,2.457,2.608,7.696,7.863,4.721,1.807
DFD,DENİZ PORTFÖY EMTİA SERBEST FON,-0.292,2.320,1.109,1.109,1.035,3.326,5.478,4.992,2.091,2.859,3.092,3.639,3.248,3.954,3.561,6.381,8.924,6.051,6.547,6.134,6.134,5.805,6.630,8.149,6.299,7.300
DHM,DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,0.462,2.917,2.795,4.148,3.324,4.902,4.986,6.789,6.746,7.581,8.973,11.154,13.571,19.551,16.876,12.737,14.870,15.174,15.941,13.423,13.670,12.981,18.252,20.378,19.006,18.574
DBH,DENİZ ASSET MANAGEMENT EUROBOND (FX) DEBT INSTRUMENTS FUND,0.532,1.613,2.162,2.717,2.717,3.846,5.000,8.621,10.526,11.176,11.834,13.855,15.244,18.868,20.382,19.620,21.154,21.935,21.935,22.727,23.529,23.529,21.935,23.529,22.727,24.342
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,0.237,2.112,1.136,1.805,-1.856,-1.110,0.178,1.500,-2.197,2.920,2.608,7.634,7.497,9.232,9.373,13.863,19.239,12.951,11.683,14.868,13.026,7.224,7.634,12.276,12.127,9.161
DAH,DENİZ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),5.096,6.413,7.982,14.071,16.575,12.739,13.099,13.099,14.625,15.749,18.593,18.659,20.750,21.302,18.992,12.440,None,12.560,14.873,12.859,12.381,17.738,23.273,21.510,26.579,27.952
DXP,DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),5.077,8.506,11.032,12.398,16.826,11.939,9.700,8.185,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.848,8.986,12.469,16.558,20.794,15.657,13.464,8.525,7.356,6.087,6.973,4.787,7.549,8.263,7.873,0.056,-3.495,-0.829,5.464,5.340,2.279,7.036,13.536,11.283,16.710,20.713
DBK,DENİZ ASSET MANAGEMENT SHORT-TERM BONDS (TL) FUND,2.439,2.439,2.439,5.000,5.000,5.000,5.000,7.692,7.692,7.692,7.692,10.526,10.526,10.526,10.526,10.526,13.514,13.514,13.514,13.514,13.514,16.667,16.667,16.667,16.667,16.667
DCB,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,0.776,1.564,2.431,3.245,4.072,4.913,5.695,6.562,7.369,8.189,8.945,9.789,10.567,11.357,12.158,13.053,13.879,14.717,15.567,16.343,17.042,17.838,18.465,19.190,19.831,20.479
DPK,DENİZ ASSET MANAGEMENT LEASE CERTIFICATES PARTICIPATION (TL) FUND,0.719,1.449,2.157,2.941,4.173,5.023,5.851,6.623,7.369,8.163,9.264,9.079,9.301,10.729,11.303,12.313,13.380,13.902,13.902,13.821,14.469,15.371,15.000,15.536,16.078,16.921
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,0.551,4.899,6.053,10.372,7.666,10.057,9.813,14.944,14.526,17.196,21.336,26.008,32.455,38.649,32.152,29.247,31.851,36.093,41.534,38.927,37.987,37.713,47.241,48.248,51.221,50.499
DAS,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,0.391,0.946,1.459,2.251,3.555,4.748,5.247,5.733,6.028,6.278,6.835,7.589,8.327,9.212,9.846,10.962,11.791,12.496,14.139,14.636,15.159,15.848,14.106,14.300,14.686,14.979
DOV,DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON,-0.525,0.009,-0.287,0.732,0.413,3.120,4.018,5.735,4.445,4.836,6.027,8.235,9.780,11.409,11.979,12.231,14.221,14.775,15.021,14.570,15.292,14.111,12.649,12.497,11.477,12.599
DBZ,DENİZ ASSET MANAGEMENT PRIVATE SECTOR BONDS FUND,0.000,0.000,2.128,2.128,2.128,4.348,4.348,4.348,6.667,6.667,6.667,9.091,9.091,9.091,11.628,11.628,11.628,11.628,14.286,14.286,14.286,14.286,17.073,17.073,17.073,17.073
DLY,DENİZ ASSET MANAGEMENT MONEY MARKET (TL) FUND,0.797,1.607,2.379,3.162,3.957,4.764,5.529,6.306,7.094,7.893,8.647,9.410,10.125,10.849,11.583,12.326,13.080,13.780,14.488,15.205,15.865,16.532,17.140,17.753,18.304,18.860
DLD,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),5.781,7.974,10.783,15.614,18.143,15.043,16.007,14.834,15.916,16.618,19.546,19.321,21.950,22.084,19.773,13.713,10.783,15.433,18.332,16.741,15.916,22.051,26.659,24.557,29.059,30.774
DFC,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,3.290,4.711,4.656,5.045,5.832,7.383,5.889,7.676,8.981,7.151,10.011,12.068,15.537,16.216,12.259,8.861,6.919,7.093,9.645,8.861,5.889,7.093,12.514,12.900,12.132,11.061
DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),6.214,11.932,16.127,20.952,29.531,22.494,22.776,17.089,14.004,13.654,19.776,21.380,25.470,28.114,25.601,18.769,15.180,23.502,29.148,30.516,27.739,30.943,43.330,40.892,46.926,42.565
FIB,FİBA ASSET MANAGEMENT GOLD FUND,3.846,1.250,1.887,2.532,4.516,4.516,8.725,8.000,8.725,10.959,12.500,14.085,12.500,13.287,15.714,19.118,24.615,22.727,20.896,21.805,21.805,21.805,20.000,21.805,22.727,21.805
FZJ,FİBA PORTFÖY BİRİNCİ FON SEPETİ FONU,1.080,1.828,2.904,4.560,5.171,5.837,6.609,7.097,7.738,7.540,9.146,10.174,10.958,11.807,12.021,11.753,12.128,13.489,15.165,15.449,15.678,17.243,18.251,19.215,20.195,21.255
FSG,FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),5.319,6.389,7.482,16.481,18.554,14.479,15.260,15.928,16.729,17.102,20.307,20.044,23.622,23.137,19.133,13.299,9.571,17.603,18.172,15.806,13.709,21.169,25.385,23.553,27.865,34.847
FBI,FİBA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,0.365,0.871,1.373,2.177,3.464,4.638,5.114,5.578,5.854,6.095,6.635,7.386,8.110,8.979,9.611,10.722,11.537,12.240,13.879,14.370,None,None,None,None,None,None
FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,-0.364,2.410,0.901,3.095,0.448,3.571,7.174,9.313,10.637,11.944,14.120,17.158,23.373,29.464,25.254,22.820,28.185,29.396,29.532,24.056,23.932,22.759,25.573,25.127,20.538,17.493
FIT,FIBA ASSET MANAGEMENT BONDS FUND,0.000,0.806,0.806,2.459,0.806,0.000,1.626,2.459,4.167,4.167,4.167,4.167,4.167,3.306,3.306,3.306,5.042,5.042,6.838,6.838,5.042,5.932,5.042,5.042,5.932,5.932
FID,FİBA ASSET MANAGEMENT VARIABLE FUND,3.723,4.608,5.872,9.857,11.252,9.269,10.054,8.688,8.304,7.923,10.252,9.857,11.252,10.850,9.857,5.872,4.075,6.794,10.850,10.054,8.688,13.519,17.433,16.319,20.196,22.600
FPE,FİBA ASSET MANAGEMENT EUROBOND DEBT INSTRUMENTS (FX) FUND,0.465,1.061,1.413,2.342,2.418,3.843,4.884,7.552,8.666,9.412,10.674,12.448,13.276,16.058,17.331,17.286,18.742,19.114,20.148,20.746,21.108,21.310,19.802,20.988,20.423,21.322
FJZ,FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON,0.508,1.162,1.700,2.518,3.452,4.761,5.655,7.476,8.242,8.886,10.037,11.697,12.752,15.077,16.141,16.606,17.997,18.477,19.820,20.515,20.982,21.453,20.056,20.909,20.793,21.526
FSH,FİBA PORTFÖY FON SEPETİ SERBEST FON,-2.819,4.024,5.144,8.787,3.412,5.713,6.610,11.761,11.761,12.765,15.887,21.999,27.484,35.231,27.299,22.851,29.265,31.194,30.512,23.282,24.504,23.196,26.931,29.170,24.328,22.594
FPH,FİBA ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),5.144,6.249,7.902,13.178,15.049,11.688,12.301,10.167,9.582,9.280,12.379,11.534,13.297,12.764,11.208,5.573,2.828,6.786,10.909,9.787,8.076,14.533,19.835,17.799,23.062,27.065
FSR,FİBA PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,-0.547,-0.030,-0.375,0.595,0.242,2.888,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
FBZ,FİBA PORTFÖY KAR PAYI ÖDEYEN SERBEST FON,-0.409,0.309,-1.418,-0.154,0.361,2.260,3.017,6.223,7.100,7.931,8.959,12.746,15.627,16.388,16.947,17.441,18.949,19.240,17.017,15.558,16.249,15.421,14.068,14.135,13.536,13.536
FPK,FİBA ASSET MANAGEMENT SHORT-TERM BONDS AND BILLS FUND,0.000,0.000,2.941,2.941,2.941,2.941,6.061,6.061,6.061,6.061,6.061,9.375,9.375,9.375,9.375,9.375,12.903,12.903,12.903,12.903,12.903,12.903,16.667,16.667,16.667,16.667
FMR,FİBA PORTFÖY MART 2025 SERBEST (DÖVİZ) FON,0.478,1.073,1.669,2.484,3.840,5.102,5.669,6.302,6.550,6.922,7.523,8.272,9.080,10.254,10.598,11.730,12.330,12.941,14.602,15.070,15.508,16.107,14.507,14.786,15.095,15.360
FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,0.795,1.558,2.332,4.106,5.016,5.795,6.586,7.388,8.203,8.978,9.764,10.508,11.263,12.083,12.859,13.645,14.443,15.253,16.014,16.726,17.447,18.177,18.854,19.476,20.105,20.869
FIL,FİBA ASSET MANAGEMENT MONEY MARKET FUND,0.820,1.653,2.500,3.361,4.237,5.128,6.034,6.957,6.957,7.895,8.850,9.821,10.811,10.811,11.818,12.844,13.889,13.889,14.953,16.038,16.038,17.143,17.143,18.269,18.269,19.417
FZP,FİBA PORTFÖY SERBEST FON,0.704,1.733,2.599,3.620,4.518,5.094,5.530,5.823,6.512,6.909,8.121,8.685,9.204,10.415,11.057,11.653,12.255,12.975,13.930,14.729,15.191,15.891,16.480,17.016,17.738,18.653
GO1,FONERİA PORTFÖY BİRİNCİ FON SEPETİ FONU,0.720,1.517,1.988,2.806,3.358,4.198,4.410,5.556,6.211,8.763,10.086,10.959,12.009,12.665,13.412,14.254,15.976,18.203,18.294,18.842,19.302,20.141,20.706,21.086,21.277,22.532
GO9,FONERİA PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),6.088,9.217,10.335,15.949,19.215,14.272,13.073,15.836,16.979,15.160,16.749,14.493,18.263,None,None,None,None,None,None,None,None,None,None,None,None,None
FCK,FONERİA PORTFÖY ÇOKLU VARLIK KATILIM FONU,0.694,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GO4,FONERİA PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,2.059,3.383,4.009,6.695,7.570,7.311,7.726,10.227,11.161,13.134,15.178,17.051,19.497,20.334,18.987,17.731,19.497,22.852,23.328,22.785,21.184,21.053,21.448,23.328,23.670,25.761
GO2,FONERİA PORTFÖY İKİNCİ FON SEPETİ FONU,1.405,2.442,3.204,4.884,5.993,6.368,6.746,7.637,7.895,9.933,11.358,12.539,13.889,14.467,14.467,14.685,16.688,19.233,19.233,19.312,18.841,19.155,19.470,22.305,22.972,24.414
FBC,FONERİA PORTFÖY KATILIM FONU,2.233,4.304,5.551,6.828,-1.749,-0.723,0.980,-0.723,-0.643,-1.671,-0.563,-0.081,3.086,2.149,-0.162,-1.749,-1.749,-0.882,1.478,2.914,2.573,6.277,9.187,7.853,10.753,12.774
GO6,FONERİA PORTFÖY PARA PİYASASI (TL) FONU,0.830,1.597,2.375,3.166,3.969,4.784,5.613,6.369,7.137,7.916,8.706,9.508,10.231,10.963,11.706,12.458,13.220,13.896,14.678,15.272,15.972,16.681,17.296,17.917,18.545,19.179
GO3,FONERİA PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,2.019,3.323,2.641,4.229,4.229,5.315,5.260,8.307,8.949,10.558,12.340,13.667,15.750,16.484,15.684,15.222,17.227,20.298,20.441,19.727,19.233,18.952,19.233,21.163,21.163,23.307
GUH,GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,-2.454,3.247,4.605,9.655,5.298,8.163,8.904,14.388,13.571,13.571,16.912,21.374,26.190,31.405,26.190,23.256,29.268,30.328,30.328,25.197,26.190,23.256,24.219,28.226,23.256,22.308
